branded_code_share,frequency,relative_frequency
WN,2713963,0.1703949493595505
AA_CODESHARE,2276891,0.14295357992803007
DL,1939694,0.12178281756347596
AA,1862100,0.11691111308533644
UA_CODESHARE,1846432,0.1159274047346458
DL_CODESHARE,1547424,0.09715432160193527
UA,1246563,0.07826489869555676
B6,600928,0.037728994878978066
AS,510406,0.032045611720871184
NK,380654,0.02389919061295616
AS_CODESHARE,343390,0.021559587091119534
F9,255388,0.01603442100243698
G4,201464,0.012648826854961721
HA,167601,0.010522753592296586
VX,17566,0.0011028734291697654
HA_CODESHARE,17021,0.0010686558486791857
