crs_arr_time,frequency,relative_frequency
1900,47494,0.0029818894822377794
2100,45010,0.002825932656662367
1625,42332,0.002657795628123335
1700,41825,0.002625963860584392
2030,41483,0.002604491544019662
900,40730,0.0025572147768464387
1100,39867,0.002503031709023741
1130,39749,0.0024956231319633953
1710,39453,0.002477038904761172
2115,39201,0.002461217197818739
1430,38559,0.0024209095158463497
2120,38432,0.0024129358778237743
1420,38408,0.0024114290485911616
1000,38298,0.002404522747941687
2125,38234,0.0024005045366547197
1045,38039,0.002388261549139742
945,37978,0.002384431691506851
1940,37948,0.0023825481549660855
1850,37856,0.00237677197624107
1855,37666,0.0023648429114828864
1945,37381,0.002346949314345611
1450,36860,0.002314238563087644
2130,36784,0.00230946693718437
1800,36760,0.0023079601079517577
2000,36576,0.002296407750501727
2145,36569,0.002295968258642215
1915,36265,0.002276881755029121
2050,36163,0.002270477730790517
1925,35969,0.002258297527826898
1630,35967,0.00225817195872418
1400,35938,0.002256351206734773
1620,35764,0.0022454266947983313
940,35717,0.002242475820884465
1200,35634,0.0022372647031216795
950,35521,0.002230170048818128
1300,35435,0.0022247705774012657
955,35421,0.002223891593682242
1840,35410,0.0022232009636172943
1030,35372,0.0022208151506656576
1040,35330,0.0022181781995085853
1705,35300,0.0022162946629678193
1905,35253,0.002213343789053953
1500,35232,0.002212025313475417
905,34993,0.0021970198057006487
1600,34969,0.0021955129764680364
1910,34934,0.002193315517170476
1615,34881,0.0021899879359484563
1150,34850,0.0021880416148563316
1650,34824,0.0021864092165210015
1440,34687,0.0021778077329848372
1920,34676,0.0021771171029198897
850,34671,0.0021768031801630955
1825,34618,0.002173475598941076
1455,34612,0.0021730988916329225
1820,34602,0.002172471046119334
855,34583,0.0021712781396435155
1245,34492,0.002165564745469859
1340,34415,0.002160730335015227
1725,34257,0.002150810375900527
1350,34174,0.002145599258137741
1215,34173,0.0021455364735863823
2110,34171,0.0021454109044836646
1305,34165,0.0021450341971755113
930,34150,0.0021440924289051286
2359,34065,0.002138755742039625
1545,33942,0.002131033242222485
1720,33869,0.002126449969973288
2200,33858,0.0021257593399083407
920,33710,0.0021164672263072294
1645,33657,0.0021131396450852096
1845,33645,0.0021123862304689035
1715,33572,0.0021078029582197065
1745,33443,0.0020997037510944133
1315,33410,0.002097631860899571
2155,33292,0.002090223283839225
1830,33284,0.002089721007428354
2105,33185,0.002083505336843827
1540,33180,0.0020831914140870328
1010,33169,0.0020825007840220853
2055,33137,0.0020804916783786014
1120,33097,0.002077980296324247
1230,32991,0.002071325133880208
1530,32892,0.0020651094632956803
1345,32831,0.00206127960566279
1140,32685,0.002052113061164396
1025,32654,0.0020501667400722712
1155,32571,0.002044955622309486
1610,32381,0.002033026557551302
1055,32366,0.0020320847892809192
1250,32327,0.0020296361917779234
925,32316,0.002028945561712976
1240,32314,0.002028819992610258
1655,32274,0.0020263086105559037
1205,32272,0.002026183041453186
1115,32239,0.002024111151258344
2135,32234,0.002023797228501549
2045,32230,0.002023546090296114
1525,32223,0.0020231065984366017
1640,32206,0.0020220392610635013
1005,32129,0.002017204850608869
1930,32109,0.0020159491595816916
1330,32107,0.002015823590478974
1255,32064,0.002013123854770543
1015,31980,0.0020078499524563984
2025,31964,0.0020068453996346567
2255,31942,0.0020054641395047617
1320,31786,0.0019956697494927793
1635,31777,0.0019951046885305496
1445,31645,0.00198681712775118
1550,31522,0.0019790946279340397
1050,31477,0.001976269323122891
1020,31458,0.001975076416647073
1125,31421,0.001972753388246795
1815,31365,0.0019692374533706986
1835,31333,0.0019672283477272148
1110,31328,0.0019669144249704206
1235,31301,0.0019652192420837314
915,31134,0.0019547342220068015
2015,31086,0.0019517205635415761
1805,31064,0.0019503393034116811
910,31053,0.0019496486733467336
750,31040,0.0019488324741790684
1740,31039,0.0019487696896277097
1935,30993,0.001945881600265202
1810,30815,0.0019347059501233245
1750,30768,0.001931755076209458
815,30763,0.0019314411534526637
2035,30535,0.0019171262757428432
1105,30535,0.0019171262757428432
1435,30429,0.0019104711132988039
1730,30406,0.00190902706861755
1035,30350,0.0019055111337414538
1220,30321,0.0019036903817520468
1145,30302,0.0019024974752762285
1535,30240,0.001898604833091979
2355,30129,0.0018916357478911453
2150,30107,0.0018902544877612505
1335,30080,0.001888559304874561
1605,29953,0.0018805856668519857
1225,29843,0.0018736793662025109
1425,29737,0.0018670242037584716
1510,29379,0.001844547334371999
1135,29178,0.001831927639548868
1520,29166,0.0018311742249325616
1415,29121,0.0018283489201214127
2020,28989,0.001820061359342043
1755,28804,0.0018084462173406535
1410,28721,0.0018032350995778681
1310,28696,0.0018016654857938965
840,28676,0.0018004097947667192
2040,28652,0.0017989029655341067
845,28636,0.0017978984127123647
1515,28620,0.001796893859890623
935,28609,0.0017962032298256755
1325,28578,0.0017942569087335508
1555,28532,0.0017913688193710432
1210,28450,0.0017862204861596165
1355,28393,0.0017826417667321614
2140,28142,0.001766882844341087
1950,28061,0.0017617972956810192
2010,27979,0.0017566489624695927
1735,27919,0.001752881889388061
1405,27874,0.001750056584576912
1955,27867,0.0017496170927174001
