crs_dep_time,frequency,relative_frequency
600,332787,0.02089388249306152
700,217575,0.013660348761904343
800,127357,0.007996052107410554
830,101437,0.006368676536188858
630,96230,0.006041757377263265
1000,96105,0.006033909308343408
900,94289,0.005919892563075715
730,89434,0.005615073566228441
1200,82651,0.0051892059543612815
1700,81256,0.005101621505215669
1100,79552,0.004994636629700169
1300,78726,0.00494277659027775
1500,77525,0.004867372344095756
615,77159,0.004844393198298413
1400,75815,0.004760010761272103
1730,74572,0.004681969563933038
1800,72071,0.004524945400984525
1600,70828,0.00444690420364546
1530,69805,0.004382675607605344
815,69582,0.004368674652652318
1230,69579,0.0043684862989982415
1130,69579,0.0043684862989982415
745,66550,0.004178311892932249
845,66449,0.004171970653245004
1245,64896,0.004074466244984692
1830,64806,0.004068815635362394
930,64701,0.004062223257469713
715,64627,0.004057577200669158
820,64358,0.004040688156353624
2000,63952,0.004015197628501926
605,63863,0.0040096098034309875
1430,62717,0.0039376587075737315
1030,62558,0.003927675963907673
710,61605,0.0038678422864626776
1930,61421,0.003856289929012647
610,61390,0.003854343607920522
945,60414,0.0037930658857942734
1900,60117,0.0037744188740406913
1750,60076,0.003771844707434978
810,60035,0.0037692705408292645
1745,59843,0.003757215906968363
705,59653,0.0037452868422101796
1155,59181,0.0037156525339687965
825,59071,0.003708746233319322
1630,58449,0.0036696942423741098
2030,57763,0.0036266240401419307
1945,57519,0.0036113046096103683
1715,57481,0.0036089187966587316
1955,57343,0.0036002545285712087
1755,57044,0.0035814819477149092
645,56725,0.003561453675831432
1420,56267,0.0035326983513090738
1330,56148,0.003525226989697369
620,55951,0.0035128584330796735
840,55631,0.0034927673766448376
835,55468,0.003482533494773343
935,55329,0.0034738064421344613
805,55266,0.003469851015398853
1445,55159,0.003463133068403455
1015,55133,0.0034615006700681244
955,54687,0.003433498760162072
1940,54664,0.003432054715480818
1115,54550,0.003424897276625908
1215,54387,0.0034146633947544137
1545,54060,0.003394132846460066
1145,53761,0.003375360265603766
1510,53682,0.003370400286046416
940,53528,0.0033607314651371515
1705,53527,0.0033606686805857924
1345,53454,0.0033560854083365954
1120,52661,0.0033062972591090182
1045,52338,0.003286017849020106
855,52276,0.0032821252068358565
1050,51870,0.0032566346789841584
1855,51790,0.0032516119148754494
2015,51767,0.0032501678701941958
1515,51676,0.0032444544760205393
950,51663,0.003243638276852874
725,51278,0.0032194662245797123
1815,51245,0.0032173943343848698
1140,50984,0.003201007566480207
1205,50780,0.003188199518002999
1210,50761,0.003187006611527181
720,50686,0.003182297770175266
1125,50579,0.003175579823179868
1005,50391,0.003163776327524402
1735,50361,0.003161892790983636
1540,49993,0.003138788076083575
1740,49919,0.003134142019283019
1105,49794,0.0031262939503631615
1040,49790,0.003126042812157726
2020,49714,0.0031212711862544525
750,49672,0.0031186342350973803
1535,49644,0.0031168762676593324
1645,49561,0.0031116651498965466
530,49433,0.0031036287273226125
1710,49194,0.0030886232195478443
1845,49181,0.0030878070203801795
1220,49139,0.003085170069223107
1455,49117,0.003083788809093212
1240,49078,0.0030813402115902164
1010,49026,0.0030780754149195557
1425,48992,0.0030759407401733546
1020,48695,0.0030572937284197724
1805,48465,0.0030428532816072344
1655,48254,0.0030296057412705145
2025,47819,0.0030022944614294094
1250,47756,0.0029983390346938013
1555,47653,0.0029918722259038386
1235,47356,0.0029732252141502565
1720,47177,0.0029619867794570204
1520,47022,0.0029522551739963967
850,46936,0.002946855702579535
1550,46902,0.0029447210278333333
650,46862,0.002942209645778979
740,46719,0.0029332314549346617
1620,46662,0.0029296527355072064
1435,46648,0.0029287737517881825
1025,46566,0.0029236254185767557
1820,46498,0.0029193560690843534
1110,46492,0.0029189793617762
1055,46369,0.00291125686195906
1340,46307,0.0029073642197748107
1850,46195,0.002900332350022618
1255,45919,0.002883003813847572
1440,45911,0.0028825015374367015
1135,45560,0.002860464159909741
910,45551,0.002859899098947511
1725,45541,0.0028592712534339228
