dest_airport_id,frequency,relative_frequency
13930,790129,0.04960789478062607
10397,785885,0.04934143714465906
11298,584602,0.03670397429349329
11292,552181,0.03466843635388764
11057,501492,0.03148595023005829
12892,500925,0.03145035138943782
14747,379340,0.02381669171247061
14771,357770,0.022462428939659964
14107,355462,0.02231752219512371
12266,354337,0.022246889574844993
11433,351574,0.02207341585944046
12953,342454,0.021500820751047638
12889,332586,0.02088126279823839
13487,324248,0.020357765209008203
11618,320520,0.020123704401542365
14100,310902,0.019519842586572834
10721,302229,0.018975312172637426
11278,287055,0.018022619390318056
13204,281348,0.017664307955713034
12478,257151,0.016145110166482655
14869,239925,0.015063583484774903
10821,213109,0.013379952955535667
11697,195896,0.01229924247299558
14679,194960,0.012240476132923684
12264,185860,0.011669136715558043
13303,177035,0.011115063049816088
14057,173876,0.010916726652073444
13232,171759,0.010783811756846734
10693,159582,0.010019284274949875
15304,151880,0.009535717660383922
15016,149994,0.009417305996521108
11259,145653,0.009144758259072289
14492,137016,0.0086024880889858
14831,134213,0.008426502991526912
10423,130507,0.00819382344419097
12191,118059,0.0074122813488758585
13495,114165,0.007167798305884451
13198,113351,0.0071166916810783375
14893,110320,0.006926391705909627
12173,109707,0.006887904775926645
13796,107706,0.006762272888657563
12339,103945,0.006526140190996884
11042,103896,0.006523063747980299
11193,103348,0.006488657813835643
14122,100858,0.006332324280952078
11066,98570,0.0061886732274430015
14908,89518,0.005620347468542585
14683,83959,0.005271328147538673
13342,71881,0.004513016336226341
12451,68235,0.0042841038619719305
14635,66742,0.00419036652679315
10800,60259,0.0037833342803336497
10529,60250,0.00378276921937142
10792,58436,0.003668878043206445
14524,57605,0.0036167040810272306
14730,55081,0.0034582358733974638
13871,54617,0.0034291038415669517
10140,54370,0.003413596057381313
10994,52921,0.0033226212424623223
13830,52883,0.0033202354295106856
13244,52880,0.0033200470758566088
13931,52674,0.0033071134582766835
14843,51345,0.003223672789520756
14027,51328,0.0032226054521476556
13851,50618,0.003178028420682864
10713,50158,0.0031491475270577873
14570,45458,0.002854060135671137
13891,44726,0.00280810184407645
11884,43805,0.0027502772722749385
11986,42418,0.0026631950995401974
10599,41156,0.002583960995725314
14307,40685,0.00255438947203529
15412,39598,0.002486142664708207
10299,39280,0.002466177177376089
15376,38648,0.0024264973409172884
11540,38082,0.002390961284848173
14576,37749,0.0023700540292456718
14685,36185,0.002271858990920412
15370,36151,0.002269724316174211
11423,35557,0.002232430292667047
11995,35414,0.00222345210182273
15096,34958,0.002194822346403089
10257,34631,0.002174291798108741
11996,34479,0.0021647485463021938
11267,34252,0.002150496453143732
12954,32958,0.0020692532436853654
13485,31267,0.00196308456733753
12758,30331,0.0019043182272656355
14321,29892,0.001876755809219095
15919,29725,0.0018662707891421652
12992,29366,0.001843731135204334
12982,28264,0.0017745425596068683
11638,24766,0.0015549221989535698
12945,24581,0.0015433070569521804
14193,24324,0.001527171427252953
12197,24191,0.0015188210819222245
13577,23968,0.0015048201269691982
10785,23711,0.0014886844972699707
12278,23450,0.0014722977293653077
14262,23160,0.001454090209471238
13296,22755,0.001428662466170899
11109,21912,0.0013757350893753785
13230,21828,0.001370461187061234
10868,21700,0.0013624247644872997
12217,21524,0.0013513746834481401
14783,20960,0.001315964196481742
11003,20717,0.0013007075505015388
14761,20351,0.0012777284047041954
10980,19554,0.0012276891172711825
13158,18867,0.0011845561304876444
10431,18676,0.001172564281178102
13264,17558,0.0011023711527588945
11603,17389,0.0010917605635792469
10990,17295,0.0010858588157515137
12323,17257,0.001083473002799877
14489,16965,0.0010651399138030895
11775,16742,0.0010511389588500632
15624,16651,0.0010454255646764068
12448,16640,0.0010447349346114595
10874,16467,0.0010338732072263763
10849,15934,0.001000409041352103
10781,15244,0.0009570877009144884
14112,15216,0.0009553297334764403
14689,15195,0.0009540112578979041
11823,15129,0.0009498674775082192
14986,14882,0.0009343596933225804
14696,14736,0.0009251931488241866
14574,14729,0.0009247536569646746
11637,14657,0.0009202331692668366
12896,14446,0.0009069856289301167
14814,13769,0.0008644804876601673
12391,13551,0.0008507934554639354
14252,13417,0.0008423803255818479
10372,13377,0.0008398689435274936
13422,13320,0.0008362902241000384
10408,13205,0.0008290700006937693
13367,13172,0.0008269981104989269
15249,12683,0.0007962964648844435
12402,12590,0.0007904575016080694
11977,12418,0.0007796585587743451
14108,12222,0.0007673527867080082
11481,12130,0.000761576607982993
10135,12023,0.0007548586609875947
14457,11934,0.000749270835916656
10279,11900,0.0007471361611704547
13486,11602,0.0007284263648655139
10434,11435,0.000717941344788584
11140,11428,0.0007175018529290719
10581,11396,0.0007154927472855884
11146,11181,0.0007019940687434331
11612,11039,0.0006930786624504748
10466,10979,0.000689311589368943
15380,10673,0.0006700995166531314
14698,10646,0.000668404333766442
14082,10580,0.0006642605533767572
10620,10531,0.000661184110360173
11624,10434,0.0006550940088783634
10627,10347,0.0006496317529101424
10208,10318,0.0006478110009207355
13256,10186,0.0006395234401413657
