dest,frequency,relative_frequency
ORD,790129,0.04960789478062607
ATL,785885,0.04934143714465906
DFW,584602,0.03670397429349329
DEN,552181,0.03466843635388764
CLT,501492,0.03148595023005829
LAX,500925,0.03145035138943782
SEA,379340,0.02381669171247061
SFO,357770,0.022462428939659964
PHX,355462,0.02231752219512371
IAH,354337,0.022246889574844993
DTW,351574,0.02207341585944046
LGA,342454,0.021500820751047638
LAS,332586,0.02088126279823839
MSP,324248,0.020357765209008203
EWR,320520,0.020123704401542365
PHL,310902,0.019519842586572834
BOS,302229,0.018975312172637426
DCA,287055,0.018022619390318056
MCO,281348,0.017664307955713034
JFK,257151,0.016145110166482655
SLC,239925,0.015063583484774903
BWI,213109,0.013379952955535667
FLL,195896,0.01229924247299558
SAN,194960,0.012240476132923684
IAD,185860,0.011669136715558043
MIA,177035,0.011115063049816088
PDX,173876,0.010916726652073444
MDW,171759,0.010783811756846734
BNA,159582,0.010019284274949875
TPA,151880,0.009535717660383922
STL,149994,0.009417305996521108
DAL,145653,0.009144758259072289
RDU,137016,0.0086024880889858
SJC,134213,0.008426502991526912
AUS,130507,0.00819382344419097
HOU,118059,0.0074122813488758585
MSY,114165,0.007167798305884451
MCI,113351,0.0071166916810783375
SMF,110320,0.006926391705909627
HNL,109707,0.006887904775926645
OAK,107706,0.006762272888657563
IND,103945,0.006526140190996884
CLE,103896,0.006523063747980299
CVG,103348,0.006488657813835643
PIT,100858,0.006332324280952078
CMH,98570,0.0061886732274430015
SNA,89518,0.005620347468542585
SAT,83959,0.005271328147538673
MKE,71881,0.004513016336226341
JAX,68235,0.0042841038619719305
RSW,66742,0.00419036652679315
BUR,60259,0.0037833342803336497
BDL,60250,0.00378276921937142
BUF,58436,0.003668878043206445
RIC,57605,0.0036167040810272306
SDF,55081,0.0034582358733974638
OMA,54617,0.0034291038415669517
ABQ,54370,0.003413596057381313
CHS,52921,0.0033226212424623223
OGG,52883,0.0033202354295106856
MEM,52880,0.0033200470758566088
ORF,52674,0.0033071134582766835
SJU,51345,0.003223672789520756
PBI,51328,0.0032226054521476556
OKC,50618,0.003178028420682864
BOI,50158,0.0031491475270577873
RNO,45458,0.002854060135671137
ONT,44726,0.00280810184407645
GEG,43805,0.0027502772722749385
GRR,42418,0.0026631950995401974
BHM,41156,0.002583960995725314
PVD,40685,0.00255438947203529
TYS,39598,0.002486142664708207
ANC,39280,0.002466177177376089
TUS,38648,0.0024264973409172884
ELP,38082,0.002390961284848173
ROC,37749,0.0023700540292456718
SAV,36185,0.002271858990920412
TUL,36151,0.002269724316174211
DSM,35557,0.002232430292667047
GSO,35414,0.00222345210182273
SYR,34958,0.002194822346403089
ALB,34631,0.002174291798108741
GSP,34479,0.0021647485463021938
DAY,34252,0.002150496453143732
LGB,32958,0.0020692532436853654
MSN,31267,0.00196308456733753
KOA,30331,0.0019043182272656355
PWM,29892,0.001876755809219095
XNA,29725,0.0018662707891421652
LIT,29366,0.001843731135204334
LIH,28264,0.0017745425596068683
FAT,24766,0.0015549221989535698
LEX,24581,0.0015433070569521804
PNS,24324,0.001527171427252953
HPN,24191,0.0015188210819222245
MYR,23968,0.0015048201269691982
BTV,23711,0.0014886844972699707
ICT,23450,0.0014722977293653077
PSP,23160,0.001454090209471238
MHT,22755,0.001428662466170899
COS,21912,0.0013757350893753785
MDT,21828,0.001370461187061234
CAE,21700,0.0013624247644872997
HSV,21524,0.0013513746834481401
SGF,20960,0.001315964196481742
CID,20717,0.0013007075505015388
SFB,20351,0.0012777284047041954
CHA,19554,0.0012276891172711825
MAF,18867,0.0011845561304876444
AVL,18676,0.001172564281178102
MFR,17558,0.0011023711527588945
EUG,17389,0.0010917605635792469
CHO,17295,0.0010858588157515137
ILM,17257,0.001083473002799877
RDM,16965,0.0010651399138030895
FSD,16742,0.0010511389588500632
VPS,16651,0.0010454255646764068
JAN,16640,0.0010447349346114595
CAK,16467,0.0010338732072263763
BZN,15934,0.001000409041352103
BTR,15244,0.0009570877009144884
PIE,15216,0.0009553297334764403
SBA,15195,0.0009540112578979041
FWA,15129,0.0009498674775082192
SRQ,14882,0.0009343596933225804
SBN,14736,0.0009251931488241866
ROA,14729,0.0009247536569646746
FAR,14657,0.0009202331692668366
LBB,14446,0.0009069856289301167
SHV,13769,0.0008644804876601673
ISP,13551,0.0008507934554639354
PSC,13417,0.0008423803255818479
ASE,13377,0.0008398689435274936
MOB,13320,0.0008362902241000384
ATW,13205,0.0008290700006937693
MLI,13172,0.0008269981104989269
TLH,12683,0.0007962964648844435
ITO,12590,0.0007904575016080694
GRB,12418,0.0007796585587743451
PIA,12222,0.0007673527867080082
ECP,12130,0.000761576607982993
ABE,12023,0.0007548586609875947
RAP,11934,0.000749270835916656
AMA,11900,0.0007471361611704547
MSO,11602,0.0007284263648655139
AVP,11435,0.000717941344788584
CRP,11428,0.0007175018529290719
BGR,11396,0.0007154927472855884
CRW,11181,0.0007019940687434331
EVV,11039,0.0006930786624504748
AZA,10979,0.000689311589368943
TVC,10673,0.0006700995166531314
SBP,10646,0.000668404333766442
PGD,10580,0.0006642605533767572
BIL,10531,0.000661184110360173
EYW,10434,0.0006550940088783634
BIS,10347,0.0006496317529101424
AGS,10318,0.0006478110009207355
MFE,10186,0.0006395234401413657
LFT,9767,0.0006132167131220026
GNV,9686,0.0006081311644619348
FAI,9667,0.0006069382579861164
FNT,9501,0.0005965160224605454
SCE,9385,0.0005892330145029174
GJT,9367,0.0005881028925784579
FCA,9136,0.0005735996612145609
JAC,9123,0.0005727834620468956
MGM,9058,0.0005687024662085696
FAY,8917,0.0005598498444669702
JNU,8910,0.0005594103526074581
MRY,8908,0.0005592847835047404
GPT,8782,0.0005513739300335238
RST,8422,0.0005287714915443336
LAN,8402,0.0005275158005171564
TRI,8377,0.0005259461867331848
DRO,8227,0.0005165285040293555
STS,8189,0.0005141426910777188
PHF,7978,0.000500895150740999
HRL,7919,0.0004971908622108262
AZO,7898,0.00049587238663229
LNK,7150,0.00044890954221586145
BLI,7039,0.0004419404570150278
PAE,7009,0.00044005692047426195
CWA,6995,0.0004391779367552379
DAB,6847,0.0004298858231541263
OAJ,6729,0.00042247724609378065
AEX,6661,0.0004182078966013781
ACY,6387,0.0004010049295290499
GRK,6379,0.00040050265311817907
GTF,6302,0.0003956682426635467
STT,6284,0.0003945381207390872
BMI,6240,0.0003917756004792973
DLH,6170,0.00038738068188417694
COU,6055,0.00038016045847790787
MLU,6016,0.0003777118609749122
MBS,5975,0.0003751376943691989
CMI,5909,0.00037099391397951405
ITH,5855,0.00036760354820613547
SGU,5846,0.00036703848724390574
IDA,5683,0.0003568046053724113
MTJ,5627,0.00035328867049631504
SWF,5627,0.00035328867049631504
TTN,5611,0.00035228411767457323
MOT,5570,0.0003497099510688599
BRO,5316,0.000333762675023709
ELM,5314,0.0003336371059209913
SAF,5261,0.00033030952469897165
EWN,5199,0.0003264168825147222
LRD,5105,0.0003205151346869892
MLB,5072,0.00031844324449214676
ERI,5028,0.00031568072423235685
KTN,4810,0.000301993692036125
BFL,4792,0.00030086357011166546
EGE,4749,0.0002981638344032344
HLN,4702,0.0002952129604893679
CLL,4572,0.0002870509688127159
CPR,4396,0.0002760008877735562
LSE,4334,0.0002721082455893068
ABI,4291,0.00026940850988087575
BQN,4261,0.0002675249733401099
GFK,4216,0.0002646996685289611
FSM,4212,0.0002644485303235257
TOL,4193,0.00026325562384770727
LYH,4153,0.0002607442417933528
LCH,3910,0.00024548759581314943
SBY,3885,0.00024391798202917785
MHK,3816,0.0002395858479854164
FLG,3730,0.0002341863765685543
LNY,3623,0.00022746842957315608
SUN,3617,0.00022709172226500292
SPI,3605,0.00022633830764869658
HDN,3535,0.00022194338905357625
ACV,3493,0.00021930643789650405
ISN,3434,0.00021560214936633122
ACT,3389,0.00021277684455518243
SJT,3311,0.00020787964954919121
HHH,3297,0.00020700066583016717
YUM,3296,0.0002069378812788083
HTS,3087,0.00019381591004480618
TYR,3003,0.0001885420077306618
PGV,3003,0.0001885420077306618
ORH,2879,0.00018075672336216296
MQT,2751,0.00017272030078822865
ROW,2751,0.00017272030078822865
DHN,2747,0.0001724691625827932
SIT,2685,0.00016857652039854376
LAW,2675,0.00016794867488495517
JHM,2658,0.0001668813375118545
PUW,2627,0.00016493501641972979
ACK,2623,0.00016468387821429436
FLO,2610,0.00016386767904662914
RDD,2557,0.00016054009782460947
CSG,2549,0.00016003782141373857
SUX,2528,0.00015871934583520247
YKM,2514,0.00015784036211617843
TXK,2465,0.00015476391909959418
USA,2367,0.00014861103306642575
LWS,2350,0.00014754369569332508
PIH,2350,0.00014754369569332508
EAT,2336,0.00014666471197430104
HYS,2329,0.000146225220114789
SPS,2313,0.0001452206672930472
PBG,2309,0.00014496952908761175
GUM,2217,0.00013919335036259649
TWF,2211,0.00013881664305444332
LBE,2204,0.00013837715119493127
GTR,2201,0.0001381887975408547
COD,2190,0.00013749816747590722
JLN,2187,0.00013730981382183063
MKK,2171,0.00013630526100008884
GRI,2136,0.00013410780170252867
LCK,2112,0.000132600972469916
HVN,2101,0.00013191034240496853
PLN,2101,0.00013191034240496853
VLD,2070,0.00012996402131284381
BQK,2068,0.00012983845221012607
MEI,2064,0.00012958731400469062
DBQ,2051,0.00012877111483702543
BLV,2033,0.00012764099291256593
ABY,2020,0.00012682479374490072
STX,2018,0.000126699224642183
PAH,2009,0.00012613416367995324
JMS,1977,0.00012412505803646967
SCC,1962,0.00012318328976608674
BGM,1875,0.00011772103379786577
BPT,1849,0.00011608863546253537
PUB,1839,0.00011546078994894675
ALW,1821,0.00011433066802448723
SCK,1781,0.00011181928597013275
GGG,1740,0.00010924511936441943
SWO,1676,0.00010522690807745227
BET,1662,0.00010434792435842822
CKB,1660,0.00010422235525571049
IAG,1650,0.00010359450974212187
GUC,1627,0.00010215046506086805
SLN,1624,0.00010196211140679146
PSE,1614,0.00010133426589320284
GCC,1604,0.00010070642037961424
DUT,1598,0.00010032971307146106
CGI,1574,9.882288383884838e-05
UIN,1560,9.794390011982432e-05
