dest_city_name,frequency,relative_frequency
"Chicago, IL",961888,0.060391706537472806
"Atlanta, GA",785885,0.04934143714465906
"New York, NY",599605,0.037645930917530296
"Dallas/Fort Worth, TX",584602,0.03670397429349329
"Denver, CO",552181,0.03466843635388764
"Charlotte, NC",501492,0.03148595023005829
"Los Angeles, CA",500925,0.03145035138943782
"Washington, DC",472915,0.0296917561058761
"Houston, TX",472396,0.029659170923720852
"Seattle, WA",379340,0.02381669171247061
"Phoenix, AZ",366441,0.023006833784492656
"San Francisco, CA",357770,0.022462428939659964
"Detroit, MI",351574,0.02207341585944046
"Las Vegas, NV",332586,0.02088126279823839
"Minneapolis, MN",324248,0.020357765209008203
"Newark, NJ",320520,0.020123704401542365
"Philadelphia, PA",310902,0.019519842586572834
"Boston, MA",302229,0.018975312172637426
"Orlando, FL",281348,0.017664307955713034
"Salt Lake City, UT",239925,0.015063583484774903
"Baltimore, MD",213109,0.013379952955535667
"Fort Lauderdale, FL",195896,0.01229924247299558
"San Diego, CA",194960,0.012240476132923684
"Miami, FL",177035,0.011115063049816088
"Portland, OR",173876,0.010916726652073444
"Nashville, TN",159582,0.010019284274949875
"Tampa, FL",151880,0.009535717660383922
"St. Louis, MO",149994,0.009417305996521108
"Dallas, TX",145653,0.009144758259072289
"Raleigh/Durham, NC",137016,0.0086024880889858
"San Jose, CA",134213,0.008426502991526912
"Austin, TX",130507,0.00819382344419097
"New Orleans, LA",114165,0.007167798305884451
"Kansas City, MO",113351,0.0071166916810783375
"Sacramento, CA",110320,0.006926391705909627
"Honolulu, HI",109707,0.006887904775926645
"Oakland, CA",107706,0.006762272888657563
"Indianapolis, IN",103945,0.006526140190996884
"Cleveland, OH",103896,0.006523063747980299
"Cincinnati, OH",103348,0.006488657813835643
"Pittsburgh, PA",100858,0.006332324280952078
"Columbus, OH",100682,0.006321274199912918
"Santa Ana, CA",89518,0.005620347468542585
"San Antonio, TX",83959,0.005271328147538673
"Milwaukee, WI",71881,0.004513016336226341
"Jacksonville, FL",68235,0.0042841038619719305
"Fort Myers, FL",66742,0.00419036652679315
"Burbank, CA",60259,0.0037833342803336497
"Hartford, CT",60250,0.00378276921937142
"Buffalo, NY",58436,0.003668878043206445
"Richmond, VA",57605,0.0036167040810272306
"Louisville, KY",55081,0.0034582358733974638
"Omaha, NE",54617,0.0034291038415669517
"Albuquerque, NM",54370,0.003413596057381313
"Charleston, SC",52921,0.0033226212424623223
"Kahului, HI",52883,0.0033202354295106856
"Memphis, TN",52880,0.0033200470758566088
"Norfolk, VA",52674,0.0033071134582766835
"San Juan, PR",51345,0.003223672789520756
"West Palm Beach/Palm Beach, FL",51328,0.0032226054521476556
"Oklahoma City, OK",50618,0.003178028420682864
"Boise, ID",50158,0.0031491475270577873
"Reno, NV",45458,0.002854060135671137
"Ontario, CA",44726,0.00280810184407645
"Spokane, WA",43805,0.0027502772722749385
"Grand Rapids, MI",42418,0.0026631950995401974
"Birmingham, AL",41156,0.002583960995725314
"Providence, RI",40685,0.00255438947203529
"Knoxville, TN",39598,0.002486142664708207
"Anchorage, AK",39280,0.002466177177376089
"Tucson, AZ",38648,0.0024264973409172884
"El Paso, TX",38082,0.002390961284848173
"Rochester, NY",37749,0.0023700540292456718
"Savannah, GA",36185,0.002271858990920412
"Tulsa, OK",36151,0.002269724316174211
"Des Moines, IA",35557,0.002232430292667047
"Greensboro/High Point, NC",35414,0.00222345210182273
"Syracuse, NY",34958,0.002194822346403089
"Albany, NY",34631,0.002174291798108741
"Greer, SC",34479,0.0021647485463021938
"Dayton, OH",34252,0.002150496453143732
"Long Beach, CA",32958,0.0020692532436853654
"Madison, WI",31267,0.00196308456733753
"Kona, HI",30331,0.0019043182272656355
"Portland, ME",29892,0.001876755809219095
"Fayetteville, AR",29725,0.0018662707891421652
"Little Rock, AR",29366,0.001843731135204334
"Lihue, HI",28264,0.0017745425596068683
"Fresno, CA",24766,0.0015549221989535698
"Lexington, KY",24581,0.0015433070569521804
"Pensacola, FL",24324,0.001527171427252953
"White Plains, NY",24191,0.0015188210819222245
