fl_date,frequency,relative_frequency
2019-12-01,24739,0.0015532270160668806
2019-08-02,24416,0.0015329476059779683
2019-08-05,24388,0.0015311896385399202
2019-08-01,24378,0.0015305617930263316
2019-07-26,24368,0.001529933947512743
2019-07-19,24363,0.0015296200247559486
2019-07-29,24348,0.0015286782564855658
2019-07-22,24348,0.0015286782564855658
2019-07-15,24341,0.0015282387646260536
2019-07-25,24339,0.001528113195523336
2019-07-12,24331,0.001527610919112465
2019-07-18,24328,0.0015274225654583885
2019-08-09,24319,0.0015268575044961588
2019-07-08,24309,0.0015262296589825702
2019-07-11,24303,0.0015258529516744169
2019-08-08,24283,0.0015245972606472396
2019-06-28,24267,0.001523592707825498
2019-06-27,24214,0.0015202651266034782
2019-06-24,24210,0.0015200139883980428
2019-06-21,24205,0.0015197000656412484
2019-08-12,24198,0.0015192605737817365
2019-06-20,24169,0.0015174398217923295
2019-06-14,24158,0.001516749191727382
2019-06-10,24156,0.0015166236226246642
2019-06-17,24154,0.0015164980535219464
2019-07-17,24132,0.0015151167933920514
2019-07-24,24128,0.0015148656551866161
2019-07-31,24121,0.0015144261633271042
2019-06-13,24113,0.001513923886916233
2018-11-25,24113,0.001513923886916233
2019-07-10,24111,0.0015137983178135155
2019-08-16,24107,0.00151354717960808
2019-08-15,24106,0.0015134843950567211
2019-06-07,24011,0.0015075198626776293
2019-08-07,23999,0.001506766448061323
2019-08-19,23998,0.001506703663509964
2019-07-23,23976,0.001505322403380069
2019-07-30,23972,0.0015050712651746337
2019-07-16,23972,0.0015050712651746337
2019-08-22,23963,0.001504506204212404
2019-06-26,23946,0.0015034388668393032
2018-07-13,23945,0.0015033760822879443
2019-07-09,23942,0.0015031877286338679
2019-08-23,23933,0.0015026226676716381
2018-07-20,23927,0.0015022459603634848
2018-07-27,23924,0.0015020576067094082
2018-08-03,23897,0.001500362423822719
2019-08-26,23897,0.001500362423822719
2018-07-12,23892,0.0015000485010659248
2019-06-06,23891,0.001499985716514566
2018-07-09,23886,0.0014996717937577715
2018-07-16,23886,0.0014996717937577715
2018-07-30,23885,0.0014996090092064126
2018-07-23,23884,0.001499546224655054
