mkt_carrier_fl_num,frequency,relative_frequency
511,6782,0.00042580482731580034
403,6298,0.0003954171044581112
478,6292,0.0003950403971499581
64,6271,0.00039372192157142196
55,6215,0.0003902059866953257
347,6177,0.00038782017374368896
352,6051,0.0003799093202724724
546,5950,0.00037356808058522736
676,5939,0.00037287745052027986
34,5844,0.000366912918141188
549,5836,0.0003664106417303171
624,5826,0.0003657827962167285
788,5822,0.00036553165801129307
665,5747,0.0003608228166593784
481,5726,0.00035950434108084235
2094,5697,0.0003576835890914353
440,5667,0.00035580005255066947
679,5664,0.0003556116988965929
711,5663,0.00035554891434523404
404,5658,0.00035523499158843973
2001,5653,0.0003549210688316454
801,5637,0.00035391651600990366
745,5625,0.0003531631013935973
832,5604,0.0003518446258150612
748,5590,0.00035096564209603716
425,5567,0.0003495215974147833
16,5564,0.0003493332437607067
667,5552,0.0003485798291444004
1895,5544,0.0003480775527335295
565,5533,0.00034738692266858204
652,5517,0.0003463823698468402
670,5507,0.0003457545243332516
639,5501,0.0003453778170250984
103,5482,0.00034418491054928006
616,5480,0.00034405934144656234
680,5462,0.0003429292195221028
443,5460,0.0003428036504193851
781,5457,0.0003426152967653085
504,5450,0.0003421758049057965
416,5441,0.00034161074394356675
678,5437,0.00034135960573813127
706,5428,0.00034079454477590153
523,5419,0.0003402294838136718
452,5403,0.00033922493099193
675,5395,0.0003387226545810591
858,5381,0.00033784367086203503
419,5379,0.0003377181017593173
495,5371,0.0003372158253484464
528,5357,0.00033633684162942236
470,5352,0.00033602291887262805
333,5343,0.00033545785791039826
301,5339,0.00033520671970496284
65,5328,0.00033451608964001533
8,5318,0.0003338882441264267
2116,5312,0.0003335115368182736
644,5292,0.00033225584579109634
323,5279,0.0003314396466234311
548,5249,0.00032955611008266526
486,5247,0.00032943054097994755
1615,5240,0.0003289910491204355
2133,5239,0.00032892826456907664
61,5235,0.0003286771263636412
566,5231,0.0003284259881582058
569,5225,0.0003280492808500526
423,5223,0.0003279237117473349
2141,5187,0.00032566346789841583
371,5168,0.0003244705614225975
669,5168,0.0003244705614225975
433,5163,0.00032415663866580316
536,5157,0.00032377993135765
