,dep_delay,taxi_out,taxi_in,arr_delay,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,total_add_gtime,longest_add_gtime
null_count,263754.0,273274.0,281172.0,311744.0,20.0,309157.0,315221.0,0.0,0.0,12918001.0,12918001.0,12918001.0,12918001.0,12918001.0,15818552.0,15818549.0
count,15663731.0,15654211.0,15646313.0,15615741.0,15927465.0,15618328.0,15612264.0,15927485.0,15927485.0,3009484.0,3009484.0,3009484.0,3009484.0,3009484.0,108933.0,108936.0
mean,10.549709069952746,17.533137185898415,7.685949718633394,5.475932330076427,137.87770433022456,133.10642816567815,107.93926383771117,1.0,767.9726431385745,20.375115800582424,3.674442529018264,16.236846582337705,0.0885327850222828,27.292120177412475,40.02265612807873,39.35864177131527
standard_deviation,47.80635540918005,10.054760924001313,6.144411279219844,49.874005773033105,71.64591778295566,71.61358849953938,69.67538425266358,0.0,585.893446600509,63.208100647790566,31.117761423055967,37.75391614746138,3.1358706748428804,53.34581801306239,35.01294855251648,33.73525333288112
variance,2285.4476175088384,101.09821723882376,37.75378996820405,2487.416451848539,5133.137534962041,5128.506057781359,4854.65917075632,0.0,343271.13076942373,3995.2639875012233,968.3150759822304,1425.3581844695457,9.833684889339542,2845.776299482772,1225.906566341166,1138.0673174336669
range,4256.0,1425.0,316.0,4263.0,1788.0,2832.0,2941.0,0.0,5079.0,2973.0,2900.0,1848.0,1078.0,2962.0,397.0,285.0
minimum,-1280.0,0.0,0.0,-1290.0,-143.0,-1228.0,-1384.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q1/25%,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,338.0,338.0,338.0,338.0,338.0,338.0,338.0,338.0
median/Q2/50%,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,603.0,603.0,603.0,603.0,603.0,603.0,603.0,603.0
Q3/75%,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1005.0,1005.0,1005.0,1005.0,1005.0,1005.0,1005.0,1005.0
maximum,2976.0,1425.0,316.0,2973.0,1645.0,1604.0,1557.0,1.0,5095.0,2973.0,2900.0,1848.0,1078.0,2962.0,398.0,285.0
interquartile_range (IQR),13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,667.0,667.0,667.0,667.0,667.0,667.0,667.0,667.0
skewness,0.7875339353442667,5.828026344993938,4.72915106678693,0.4496891044263383,5.857041489257091,5.659809723117583,4.733634339455044,inf,0.8447234429525602,-27.65270012364071,-57.77975632529841,-46.6253475103761,-576.7885825634561,-32.375989417668215,-48.23735507686556,-50.12335487749078
