op_unique_carrier,frequency,relative_frequency
WN,2713963,0.1703949493595505
DL,1939694,0.12178281756347596
AA,1862100,0.11691111308533644
OO,1609494,0.10105135870477983
UA,1246563,0.07826489869555676
YX,644591,0.04047035674496005
MQ,622370,0.03907522122921478
B6,600928,0.037728994878978066
OH,565886,0.03552889863026083
AS,510406,0.032045611720871184
9E,502191,0.031529836631458134
YV,441771,0.027736394038355712
NK,380654,0.02389919061295616
EV,335976,0.021094102427344934
F9,255388,0.01603442100243698
QX,234963,0.01475204654093223
PT,220237,0.013827481237621633
ZW,208050,0.013062325910211186
G4,201464,0.012648826854961721
CP,190901,0.011985633638958066
G7,168004,0.010548055766494207
HA,167601,0.010522753592296586
AX,159005,0.00998305758881581
C5,105840,0.0066451169158219265
VX,17566,0.0011028734291697654
EM,17021,0.0010686558486791857
KS,3197,0.000200722210694281
9K,1661,0.00010428513980706935
