origin,frequency,relative_frequency
ORD,790253,0.04961568006499457
ATL,785850,0.0493392396853615
DFW,584688,0.03670937376491015
DEN,552134,0.03466548547997377
CLT,501557,0.031490031225896616
LAX,500840,0.03144501470257231
SEA,379367,0.023818386895357303
SFO,357626,0.022453387964264288
PHX,355485,0.022318966239804967
IAH,354379,0.022249526526002063
DTW,351618,0.02207617837970025
LGA,342443,0.021500130120982692
LAS,332518,0.020876993448745988
MSP,324301,0.020361092790230222
EWR,320572,0.020126969198213027
PHL,310935,0.019521914476767675
BOS,302247,0.018976442294561885
DCA,287057,0.018022744959420776
MCO,281343,0.017663994032956237
JFK,257214,0.016149065593218263
SLC,239729,0.015051277712708566
BWI,213120,0.013380643585600614
FLL,195877,0.012298049566519762
SAN,194988,0.012242234100361734
IAD,185901,0.011671710882163757
MIA,177075,0.011117574431870442
PDX,173887,0.010917417282138391
MDW,171779,0.01078506744787391
BNA,159573,0.010018719213987644
TPA,151869,0.009535027030318975
STL,149988,0.009416929289212955
DAL,145620,0.009142686368877447
RDU,136985,0.008600541767893675
SJC,134421,0.008439562178209554
AUS,130489,0.00819269332226651
HOU,118063,0.007412532487081294
MSY,114148,0.00716673096851135
MCI,113328,0.007115247636397083
SMF,110307,0.006925575506741962
HNL,109709,0.006888030345029363
OAK,107776,0.006766667807252683
IND,103943,0.006526014621894166
CLE,103899,0.0065232521016343765
CVG,103360,0.00648941122845195
PIT,100854,0.006332073142746642
CMH,98562,0.006188170951032131
SNA,89454,0.0056163292572556185
SAT,83943,0.0052703235947169315
MKE,71880,0.004512953551674982
JAX,68219,0.004283099309150189
RSW,66741,0.004190303742241792
BUR,60254,0.0037830203575768555
BDL,60244,0.0037823925120632667
BUF,58429,0.0036684385513469325
RIC,57614,0.0036172691419894603
SDF,55082,0.0034582986579488224
OMA,54610,0.0034286643497074398
ABQ,54363,0.003413156565521801
CHS,52907,0.003321742258743298
OGG,52883,0.0033202354295106856
MEM,52872,0.003319544799445738
ORF,52673,0.0033070506737253244
SJU,51329,0.0032226682366990143
PBI,51314,0.0032217264684286312
OKC,50613,0.003177714497926069
BOI,50161,0.0031493358807118637
RNO,45457,0.0028539973511197783
ONT,44720,0.0028077251367682973
GEG,43800,0.0027499633495181443
GRR,42417,0.0026631323149888383
BHM,41150,0.0025835842884171607
PVD,40679,0.0025540127647271367
TYS,39598,0.002486142664708207
ANC,39296,0.002467181730197831
TUS,38645,0.002426308987263212
ELP,38078,0.0023907101466427373
ROC,37748,0.002369991244694313
SAV,36177,0.0022713567145095414
TUL,36149,0.002269598747071493
DSM,35555,0.002232304723564329
GSO,35401,0.0022226359026550646
SYR,34953,0.0021945084236462947
ALB,34635,0.0021745429363141766
GSP,34476,0.0021645601926481173
DAY,34247,0.002150182530386938
LGB,32959,0.002069316028236724
MSN,31263,0.0019628334291320946
KOA,30565,0.001919009812283609
PWM,29889,0.0018765674555650186
