origin_city_name,frequency,relative_frequency
"Chicago, IL",962032,0.06040074751286848
"Atlanta, GA",785850,0.0493392396853615
"New York, NY",599657,0.03764919571420095
"Dallas/Fort Worth, TX",584688,0.03670937376491015
"Denver, CO",552134,0.03466548547997377
"Charlotte, NC",501557,0.031490031225896616
"Los Angeles, CA",500840,0.03144501470257231
"Washington, DC",472958,0.029694455841584533
"Houston, TX",472442,0.02966205901308336
"Seattle, WA",379367,0.023818386895357303
"Phoenix, AZ",366448,0.02300727327635217
"San Francisco, CA",357626,0.022453387964264288
"Detroit, MI",351618,0.02207617837970025
"Las Vegas, NV",332518,0.020876993448745988
"Minneapolis, MN",324301,0.020361092790230222
"Newark, NJ",320572,0.020126969198213027
"Philadelphia, PA",310935,0.019521914476767675
"Boston, MA",302247,0.018976442294561885
"Orlando, FL",281343,0.017663994032956237
"Salt Lake City, UT",239729,0.015051277712708566
"Baltimore, MD",213120,0.013380643585600614
"Fort Lauderdale, FL",195877,0.012298049566519762
"San Diego, CA",194988,0.012242234100361734
"Miami, FL",177075,0.011117574431870442
"Portland, OR",173887,0.010917417282138391
"Nashville, TN",159573,0.010018719213987644
"Tampa, FL",151869,0.009535027030318975
"St. Louis, MO",149988,0.009416929289212955
"Dallas, TX",145620,0.009142686368877447
"Raleigh/Durham, NC",136985,0.008600541767893675
"San Jose, CA",134421,0.008439562178209554
"Austin, TX",130489,0.00819269332226651
"New Orleans, LA",114148,0.00716673096851135
"Kansas City, MO",113328,0.007115247636397083
"Sacramento, CA",110307,0.006925575506741962
"Honolulu, HI",109709,0.006888030345029363
"Oakland, CA",107776,0.006766667807252683
"Indianapolis, IN",103943,0.006526014621894166
"Cleveland, OH",103899,0.0065232521016343765
"Cincinnati, OH",103360,0.00648941122845195
"Pittsburgh, PA",100854,0.006332073142746642
"Columbus, OH",100681,0.006321211415361559
"Santa Ana, CA",89454,0.0056163292572556185
"San Antonio, TX",83943,0.0052703235947169315
"Milwaukee, WI",71880,0.004512953551674982
"Jacksonville, FL",68219,0.004283099309150189
"Fort Myers, FL",66741,0.004190303742241792
"Burbank, CA",60254,0.0037830203575768555
"Hartford, CT",60244,0.0037823925120632667
"Buffalo, NY",58429,0.0036684385513469325
"Richmond, VA",57614,0.0036172691419894603
"Louisville, KY",55082,0.0034582986579488224
"Omaha, NE",54610,0.0034286643497074398
"Albuquerque, NM",54363,0.003413156565521801
"Charleston, SC",52907,0.003321742258743298
"Kahului, HI",52883,0.0033202354295106856
"Memphis, TN",52872,0.003319544799445738
"Norfolk, VA",52673,0.0033070506737253244
"San Juan, PR",51329,0.0032226682366990143
"West Palm Beach/Palm Beach, FL",51314,0.0032217264684286312
"Oklahoma City, OK",50613,0.003177714497926069
"Boise, ID",50161,0.0031493358807118637
"Reno, NV",45457,0.0028539973511197783
"Ontario, CA",44720,0.0028077251367682973
"Spokane, WA",43800,0.0027499633495181443
"Grand Rapids, MI",42417,0.0026631323149888383
"Birmingham, AL",41150,0.0025835842884171607
"Providence, RI",40679,0.0025540127647271367
"Knoxville, TN",39598,0.002486142664708207
"Anchorage, AK",39296,0.002467181730197831
"Tucson, AZ",38645,0.002426308987263212
"El Paso, TX",38078,0.0023907101466427373
"Rochester, NY",37748,0.002369991244694313
"Savannah, GA",36177,0.0022713567145095414
"Tulsa, OK",36149,0.002269598747071493
"Des Moines, IA",35555,0.002232304723564329
"Greensboro/High Point, NC",35401,0.0022226359026550646
"Syracuse, NY",34953,0.0021945084236462947
"Albany, NY",34635,0.0021745429363141766
"Greer, SC",34476,0.0021645601926481173
"Dayton, OH",34247,0.002150182530386938
"Long Beach, CA",32959,0.002069316028236724
"Madison, WI",31263,0.0019628334291320946
"Kona, HI",30565,0.001919009812283609
"Portland, ME",29889,0.0018765674555650186
"Fayetteville, AR",29713,0.001865517374525859
"Little Rock, AR",29369,0.0018439194888584104
"Lihue, HI",28262,0.0017744169905041505
"Fresno, CA",24766,0.0015549221989535698
"Lexington, KY",24577,0.001543055918746745
"Pensacola, FL",24320,0.0015269202890475174
"White Plains, NY",24161,0.0015169375453814586
"Myrtle Beach, SC",23967,0.0015047573424178393
"Burlington, VT",23700,0.0014879938672050232
"Wichita, KS",23456,0.001472674436673461
"Palm Springs, CA",23103,0.0014505114900437827
"Manchester, NH",22761,0.001429039173479052
"Colorado Springs, CO",21912,0.0013757350893753785
"Harrisburg, PA",21832,0.0013707123252666696
"Columbia, SC",21697,0.0013622364108332233
"Huntsville, AL",21520,0.0013511235452427046
"Springfield, MO",20958,0.0013158386273790243
"Cedar Rapids/Iowa City, IA",20716,0.00130064476595018
"Sanford, FL",20325,0.0012760960063688649
"Chattanooga, TN",19546,0.0012271868408603116
"Midland/Odessa, TX",18864,0.001184367776833568
"Asheville, NC",18666,0.0011719364356645133
"Medford, OR",17544,0.0011014921690398703
"Eugene, OR",17393,0.0010920117017846822
"Charlottesville, VA",17290,0.0010855448929947195
"Wilmington, NC",17258,0.001083535787351236
"Bend/Redmond, OR",16962,0.0010649515601490129
"Sioux Falls, SD",16739,0.0010509506051959868
"Valparaiso, FL",16647,0.0010451744264709714
"Jackson/Vicksburg, MS",16637,0.0010445465809573828
"Akron, OH",16468,0.0010339359917777352
"Bozeman, MT",15931,0.0010002206876980264
"Baton Rouge, LA",15242,0.0009569621318117707
"St. Petersburg, FL",15205,0.0009546391034114928
