tail_num,frequency,relative_frequency
N494HA,6868,0.00043254229568359567
N485HA,6834,0.00043040099719011255
N488HA,6818,0.00042939332731082636
N492HA,6790,0.0004276299050220755
N483HA,6761,0.0004258035033658693
N477HA,6753,0.00042529966842622623
N487HA,6731,0.0004239141223422077
N476HA,6579,0.00041434125848898893
N495HA,6577,0.00041421529975407817
N481HA,6442,0.000405713085147601
N491HA,6442,0.000405713085147601
N490HA,6413,0.0004038866834913948
N486HA,6406,0.00040344582791920704
N480HA,6311,0.0003974627880109453
N489HA,6298,0.0003966440562340253
N475HA,6287,0.000395951283192016
N478HA,6057,0.0003814660286772771
N484HA,5871,0.0003697518663305752
N493HA,5856,0.00036880717581874435
N479HA,5789,0.00036458755819923346
N801HC,4767,0.0003002226446598283
N805HC,4577,0.0002882565648433048
N576NN,4506,0.00028378502975397234
N595NN,4501,0.0002834701329166954
N588NN,4496,0.0002831552360794185
N590NN,4479,0.0002820845868326769
N582NN,4475,0.0002818326693628554
N581NN,4473,0.0002817067106279446
N593NN,4470,0.00028151777252557846
N596NN,4469,0.00028145479315812305
N935WN,4469,0.00028145479315812305
N942WN,4467,0.0002813288344232123
N594NN,4466,0.0002812658550557569
N579NN,4466,0.0002812658550557569
N587NN,4462,0.00028101393758593536
N600NN,4459,0.0002808249994835692
N928WN,4444,0.00027988030897173837
N586NN,4442,0.0002797543502368276
N930WN,4441,0.0002796913708693722
N578NN,4439,0.00027956541213446144
N598NN,4436,0.0002793764740320953
N965WN,4433,0.0002791875359297291
N564NN,4425,0.000278683700990086
N589NN,4425,0.000278683700990086
N967WN,4424,0.00027862072162263067
N966WN,4421,0.0002784317835202645
N926WN,4417,0.00027817986605044293
N599NN,4402,0.00027723517553861215
N558NN,4398,0.0002769832580687906
N934WN,4396,0.0002768572993338798
N575NN,4395,0.0002767943199664244
N577NN,4394,0.00027673134059896906
N566NN,4393,0.00027666836123151366
N962WN,4393,0.00027666836123151366
N938WN,4389,0.00027641644376169214
N573NN,4389,0.00027641644376169214
N434MK,4381,0.00027591260882204905
N964WN,4380,0.00027584962945459364
N957WN,4380,0.00027584962945459364
N585NN,4380,0.00027584962945459364
N562NN,4379,0.00027578665008713823
N574NN,4379,0.00027578665008713823
N943WN,4377,0.0002756606913522275
N438QX,4375,0.0002755347326173167
N952WN,4375,0.0002755347326173167
N960WN,4372,0.00027534579451495055
N584NN,4370,0.0002752198357800398
N592NN,4370,0.0002752198357800398
N580NN,4370,0.0002752198357800398
N939WN,4369,0.0002751568564125844
N969WN,4367,0.0002750308976776736
N540EA,4366,0.0002749679183102182
N929WN,4365,0.00027490493894276286
N941WN,4364,0.00027484195957530746
N927WN,4363,0.00027477898020785205
N567NN,4363,0.00027477898020785205
N440QX,4360,0.0002745900421054859
N547NN,4359,0.00027452706273803053
N570NN,4359,0.00027452706273803053
N958WN,4354,0.0002742121659007536
N557NN,4353,0.0002741491865332982
N951WN,4346,0.0002737083309611105
N548NN,4346,0.0002737083309611105
N968WN,4343,0.00027351939285874435
N937WN,4343,0.00027351939285874435
