carrier,frequency,relative_frequency
GFQ,57,0.018780889621087316
8C,57,0.018780889621087316
YV,57,0.018780889621087316
YX,57,0.018780889621087316
AA,57,0.018780889621087316
F9,57,0.018780889621087316
WN,57,0.018780889621087316
9S,57,0.018780889621087316
CP,57,0.018780889621087316
5Y,57,0.018780889621087316
KAQ,57,0.018780889621087316
9E,57,0.018780889621087316
WI,57,0.018780889621087316
NC,57,0.018780889621087316
ABX,57,0.018780889621087316
G4,57,0.018780889621087316
DL,57,0.018780889621087316
UA,57,0.018780889621087316
FX,57,0.018780889621087316
PO,57,0.018780889621087316
NK,57,0.018780889621087316
KH,57,0.018780889621087316
QX,57,0.018780889621087316
SY,57,0.018780889621087316
AS,57,0.018780889621087316
0WQ,57,0.018780889621087316
GL,57,0.018780889621087316
U7,57,0.018780889621087316
X9,57,0.018780889621087316
KLQ,57,0.018780889621087316
HA,57,0.018780889621087316
G7,57,0.018780889621087316
OO,57,0.018780889621087316
5V,57,0.018780889621087316
B6,57,0.018780889621087316
M6,57,0.018780889621087316
PFQ,57,0.018780889621087316
MQ,57,0.018780889621087316
5X,57,0.018780889621087316
L2,56,0.018451400329489293
EV,56,0.018451400329489293
KD,56,0.018451400329489293
XP,55,0.018121911037891267
27Q,51,0.016803953871499175
OH,51,0.016803953871499175
N8,45,0.014827018121911038
09Q,43,0.014168039538714991
1BQ,40,0.013179571663920923
ZW,36,0.01186161449752883
VX,36,0.01186161449752883
23Q,33,0.010873146622734762
WP,33,0.010873146622734762
K8,28,0.009225700164744647
PRQ,26,0.0085667215815486
WL,25,0.008237232289950576
S5,24,0.007907742998352554
WE,24,0.007907742998352554
EE,24,0.007907742998352554
2HQ,21,0.0069192751235584845
3EQ,12,0.003953871499176277
MRQ,12,0.003953871499176277
0JQ,10,0.0032948929159802307
16,6,0.0019769357495881385
US,6,0.0019769357495881385
FCQ,3,0.0009884678747940692
