,month,airline_id,unique_carrier,carrier,carrier_name,carrier_group_new,year
count,12.0,63.0,63.0,65.0,70.0,3.0,5.0
mean,252.91666666666666,48.15873015873016,48.15873015873016,46.69230769230769,43.34285714285714,1011.6666666666666,607.0
standard_deviation,24.707225050518517,16.20056385837348,16.20056385837348,16.583993673233422,18.67408163877838,35.72580766523457,88.76936408468859
variance,610.4469696969697,262.45826932923705,262.45826932923705,275.0288461538462,348.72132505175983,1276.3333333333333,7880.0
range,57.0,57.0,57.0,54.0,57.0,68.0,224.0
minimum,211.0,0.0,0.0,3.0,0.0,984.0,458.0
Q1/25%,251.5,47.0,47.0,36.0,24.5,991.5,600.0
median/Q2/50%,267.0,57.0,57.0,57.0,57.0,999.0,634.0
Q3/75%,267.0,57.0,57.0,57.0,57.0,1025.5,661.0
maximum,268.0,57.0,57.0,57.0,57.0,1052.0,682.0
interquartile_range (IQR),15.5,10.0,10.0,21.0,32.5,34.0,61.0
skewness,-1.7100261123461677,-1.6372152077966307,-1.6372152077966307,-1.8646339073914862,-2.194026424643437,1.0636568487429432,-0.9124769658451491
