,sdomt_gallons,satl_gallons,spac_gallons,slat_gallons,sint_gallons,ts_gallons,tdomt_gallons,tint_gallons,total_gallons,sdomt_cost,satl_cost,spac_cost,slat_cost,sint_cost,ts_cost,tdomt_cost,tint_cost,total_cost
null_count,1,1,1,2,1,1,3,1,6,0,1,1,1,1,0,0,1,0
count,3034,3034,3034,3033,3034,3034,3032,3034,3029,3035,3034,3034,3034,3034,3035,3035,3034,3035
mean,17864462.184245220831,3850825.681608437706,3147424.684245220831,2385017.214309264754,9382481.483520105471,27246943.667765326302,18270544.798812664908,10154826.573829927488,28452947.941895014856,32534241.275453047776,6982968.838826631510,5649610.947593935399,4466444.544166117337,17099024.330586684245,49627631.660626029654,33363888.328500823723,18715404.548121292024,52073132.485667215815
standard_deviation,43401462.1453,14046805.3872,9696375.0468,8090001.6645,30167238.9520,70066690.3114,43560320.4060,30270149.2274,70251658.7867,81070165.3200,26306499.1465,17866184.3436,15230625.9296,56325588.6762,130656000,81409051.9905,56604874.1631,131027041
variance,1883686916353124.1266,197312741585537.0453,94019689047821.9675,65448126932182.9455,910062305988468.7457,4909341091197160.5741,1897501513871236.9282,916281934246294.8539,4935295562289060.0422,6572371705010774.7521,692031897342362.5019,319200543000443.5452,231971966208681.7892,3172571939719639.2534,17070990333561675,6627433745985772.0743,3204111779025139.1169,17168085581972141
range,206257947,88133275,59285698,55010941,168983335,349985130,207363151,169366813,351133142,532108156,232152313,163686422,120858546,488385917,1020494073,538314852,494207904,1032522756
min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
q1,0.0,0.0,0.0,0.0,0.0,0.0,3004.5,0.0,71385.0,0.0,0.0,0.0,0.0,0.0,0.0,3377.5,0.0,133593.5
median,0.0,0.0,0.0,0.0,0.0,0.0,329063.0,143458.0,563741.0,0.0,0.0,0.0,0.0,0.0,0.0,670576.0,302664.0,1229806.0
q3,8256752.75,0.0,0.0,0.0,1056932.5,13506849.25,11072293.5,2047260.0,15460025.0,15229974.0,0.0,0.0,0.0,2018227.25,21635977.5,18507988.0,4117865.25,25499558.0
max,206257947,88133275,59285698,55010941,168983335,349985130,207363151,169366813,351133142,532108156,232152313,163686422,120858546,488385917,1020494073,538314852,494207904,1032522756
interquartile_range (IQR),8256752.75,0.0,0.0,0.0,1056932.5,13506849.25,11069289.0,2047260.0,15388640.0,15229974.0,0.0,0.0,0.0,2018227.25,21635977.5,18504610.5,4117865.25,25365964.5
skewness,1.2348290565261373,0.8224273581345679,0.9737942279627275,0.8844314178976143,0.9330467562956809,1.1666147015081227,1.235630153652961,0.9922021029980073,1.1909700392942886,1.2039290094093416,0.7963395813261258,0.9486543134686279,0.8797625057849645,0.9107241344010183,1.1395029312230445,1.2047792547313765,0.9758562749420081,1.1641106926699323
