unique_carrier,frequency,relative_frequency
UA,57,0.018787079762689517
GFQ,57,0.018787079762689517
F9,57,0.018787079762689517
WN,57,0.018787079762689517
9S,57,0.018787079762689517
CP,57,0.018787079762689517
5Y,57,0.018787079762689517
KAQ,57,0.018787079762689517
9E,57,0.018787079762689517
WI,57,0.018787079762689517
NC,57,0.018787079762689517
ABX,57,0.018787079762689517
N8,57,0.018787079762689517
G4,57,0.018787079762689517
DL,57,0.018787079762689517
FX,57,0.018787079762689517
PO,57,0.018787079762689517
NK,57,0.018787079762689517
KH,57,0.018787079762689517
QX,57,0.018787079762689517
SY,57,0.018787079762689517
AS,57,0.018787079762689517
0WQ,57,0.018787079762689517
GL,57,0.018787079762689517
U7,57,0.018787079762689517
X9,57,0.018787079762689517
OH,57,0.018787079762689517
KLQ,57,0.018787079762689517
HA,57,0.018787079762689517
G7,57,0.018787079762689517
OO,57,0.018787079762689517
5V,57,0.018787079762689517
B6,57,0.018787079762689517
M6,57,0.018787079762689517
PFQ,57,0.018787079762689517
MQ,57,0.018787079762689517
5X,57,0.018787079762689517
8C,57,0.018787079762689517
YV,57,0.018787079762689517
YX,57,0.018787079762689517
AA,57,0.018787079762689517
KD,56,0.01845748187211602
EV,56,0.01845748187211602
L2,56,0.01845748187211602
XP,55,0.01812788398154252
WL,53,0.01746868820039552
27Q,51,0.016809492419248517
09Q,43,0.014172709294660513
1BQ,40,0.013183915622940013
VX,36,0.011865524060646011
ZW,36,0.011865524060646011
WP,33,0.010876730388925511
23Q,33,0.010876730388925511
PRQ,26,0.008569545154911009
EE,24,0.007910349373764008
WE,24,0.007910349373764008
S5,24,0.007910349373764008
2HQ,21,0.006921555702043507
3EQ,12,0.003955174686882004
0JQ,9,0.002966381015161503
US,6,0.001977587343441002
FCQ,3,0.000988793671720501
,0,0.0
