airline_id,frequency,relative_frequency
19790,215864,0.09183759860148726
19977,188250,0.08008944491313964
19393,183181,0.07793287972713855
19805,133516,0.056803305854038526
20304,128046,0.05447613845071914
20107,96080,0.04087646144623882
20336,70693,0.030075766954818492
20366,68021,0.028938986095281127
20368,57462,0.024446744667191662
19930,56650,0.024101285813170576
20452,55821,0.023748594446195846
19917,52803,0.022464610675954916
20409,43686,0.018585856523109793
20398,42850,0.018230187062565916
20436,42343,0.018014487999771962
20416,41762,0.01776730623353274
20363,39264,0.016704552271285606
20397,37165,0.015811549642479866
20455,33279,0.01415828226966467
20330,29803,0.012679446091613816
20331,28393,0.012079572958399861
20378,26983,0.011479699825185907
20422,23341,0.009930240285352417
20500,21389,0.009099777621498772
21161,16691,0.007101051394662491
20237,15597,0.006635617913998614
20007,15538,0.006610516839630087
20046,14436,0.0061416798234586135
20448,12798,0.0054448059282781475
20229,12202,0.005191242532962177
20333,12127,0.005159334387578457
21652,11854,0.005043188738381712
20447,11844,0.005038934318997216
21167,11741,0.004995113799336906
20408,10767,0.004580733351286983
21351,10516,0.004473947424736131
20402,10179,0.00433057349147861
20427,10106,0.004299516229971789
21080,9704,0.004128488570715044
19687,9658,0.004108918241546362
19531,9532,0.004055312557301711
20324,8653,0.003681349093404501
20337,8624,0.0036690112771894626
20443,8366,0.0035592472570694623
20453,8224,0.0034988345018096174
21635,8152,0.0034682026822412454
20445,8012,0.0034086408108582994
21820,7803,0.0033197234457223303
20263,7586,0.003227402545078764
20341,7310,0.003109980570066671
21352,7274,0.003094664660282485
19554,7159,0.0030457388373607793
19550,6955,0.0029589486819170583
20355,6595,0.002805789584075198
21437,6256,0.002661564766940779
20346,6145,0.0026143407117728717
19540,5686,0.0024190628620244996
20310,5640,0.0023994925328558172
19690,5501,0.002340356103411321
20383,5438,0.0023135532612889955
20253,5337,0.0022705836255055845
20207,4902,0.0020855163822800027
21579,4848,0.002062542517603724
20272,4832,0.00205573544658853
20166,4778,0.0020327615819122507
20151,4737,0.002015318462435817
20370,4729,0.00201191492692822
20201,4655,0.0019804322234829486
20206,4648,0.001977454129913801
21171,4613,0.001962563662068065
19534,4592,0.001953629381360623
20108,4510,0.0019187431424077545
20372,4454,0.0018949183938545763
20327,4379,0.0018630102484708552
21610,4227,0.0017983430738265141
20401,4150,0.0017655840445658939
20323,3894,0.001656670908322793
19874,3887,0.0016536928147536456
21568,3837,0.001632420717831165
19532,3779,0.0016077450854010875
20225,3735,0.0015890256401093045
21599,3669,0.00156094647217163
19574,3489,0.0014843669232506998
21477,3399,0.0014460771487902345
21111,3192,0.0013580106675311647
19537,3189,0.0013567343417158159
19682,3118,0.0013265279640858932
19779,3082,0.0013112120543017072
21629,2982,0.001268667860456746
20100,2956,0.001257606370057056
20322,2941,0.0012512247409803118
20424,2935,0.0012486720893496142
19552,2711,0.0011533730951369008
19551,2640,0.0011231667175069784
19770,2592,0.001102745504461397
20169,2591,0.0011023200625229473
21439,2432,0.0010346747943094589
20277,2425,0.0010316967007403116
21242,2398,0.001020209768402172
19544,2344,0.000997235903725893
21578,2286,0.0009725602712958153
20293,2286,0.0009725602712958153
21618,2275,0.0009678804099728695
19545,2216,0.0009427793356043424
20195,2200,0.0009359722645891486
19548,2089,0.0008887482094212416
20392,2049,0.000871730531883257
21611,2046,0.0008704542060679082
19546,1986,0.0008449276897609314
20190,1920,0.0008168485218232569
20377,1901,0.0008087651249927143
21487,1884,0.0008015326120390709
20358,1822,0.0007751552118551949
21650,1816,0.0007726025602244972
19571,1803,0.0007670718150246522
20005,1799,0.0007653700472708538
20250,1781,0.0007577120923787608
19566,1766,0.0007513304633020166
19821,1750,0.0007445233922868228
21570,1743,0.0007415452987176754
21615,1708,0.000726654830871939
20226,1618,0.0006883650564114738
19547,1610,0.0006849615209038769
19577,1602,0.00068155798539628
19791,1590,0.0006764526821348846
21894,1586,0.0006747509143810863
21253,1480,0.0006296540689054273
19543,1476,0.0006279523011516288
20280,1438,0.0006117855074905435
21974,1431,0.0006088074139213962
21271,1401,0.0005960441557679078
21743,1396,0.0005939169460756598
19572,1389,0.0005909388525065125
20167,1367,0.000581579129860621
19542,1362,0.000579451920168373
21262,1352,0.0005751975007838768
20233,1350,0.0005743466169069775
19623,1336,0.000568390429768683
20354,1262,0.0005369077263234116
21712,1175,0.0004998942776782953
21492,1115,0.0004743677613713185
21634,1100,0.0004679861322945743
20340,1075,0.00045735008383333397
19961,1068,0.0004543719902641867
19564,1054,0.0004484158031258921
21376,1046,0.0004450122676182952
20156,1044,0.00044416138374139596
19933,1008,0.0004288454739572099
19830,994,0.0004228892868189153
21029,973,0.00041395500611147345
20313,961,0.0004088497028500781
19558,960,0.00040842426091162846
21107,954,0.0004058716092809308
20319,940,0.0003999154221426362
21231,930,0.0003956610027581401
20133,919,0.00039098114143519433
19958,918,0.0003905556994967447
21440,885,0.0003765161155279075
20320,881,0.00037481434777410905
21577,866,0.00036843271869736483
21909,857,0.0003646037412513183
21386,840,0.0003573712282976749
19555,836,0.00035566946054387644
19576,832,0.000353967692790078
19539,830,0.0003531168089131788
20120,819,0.00034843694759023304
21342,804,0.0003420553185134889
20177,798,0.00033950266688279117
20405,785,0.0003339719216829462
21594,764,0.0003250376409755043
20334,756,0.0003216341054679074
20148,756,0.0003216341054679074
20059,735,0.00031269982476046554
20353,726,0.00030887084731441903
21061,721,0.000306743637622171
21823,705,0.00029993656660697715
19873,696,0.00029610758916093064
20426,684,0.0002910022858995353
20342,681,0.0002897259600841865
21598,664,0.000282493447130543
21226,657,0.00027951535356139575
20257,654,0.0002782390277460469
19556,652,0.00027738814386914766
20428,648,0.00027568637611534924
21596,645,0.0002744100503000004
21427,645,0.0002744100503000004
19573,642,0.0002731337244846515
19533,635,0.00027015563091550425
19624,633,0.000269304747038605
20303,628,0.000267177537346357
21638,622,0.00026462488571565927
21924,609,0.00025909414051581434
19869,596,0.00025356339531596936
19912,588,0.00025015985980837246
19650,555,0.00023612027583953522
21518,554,0.0002356948339010856
20188,527,0.00022420790156294605
20224,513,0.00021825171442465147
21361,499,0.0002122955272863569
20362,496,0.00021101920147100804
19568,495,0.00021059375953255842
20149,495,0.00021059375953255842
21645,487,0.00020719022402496153
21764,484,0.00020591389820961268
20360,477,0.0002029358046404654
21503,465,0.00019783050137907004
20119,436,0.00018549268516403127
21674,434,0.00018464180128713203
21022,420,0.00017868561414883746
20140,395,0.00016804956568759714
21557,390,0.00016592235599534907
19953,384,0.0001633697043646514
21592,375,0.00015954072691860488
20200,373,0.00015868984304170564
21196,372,0.00015826440110325602
21202,363,0.00015443542365720951
20110,356,0.00015145733008806221
20111,356,0.00015145733008806221
19538,346,0.00014720291070356608
20380,343,0.00014592658488821726
19535,342,0.00014550114294976764
19562,342,0.00014550114294976764
19570,339,0.0001442248171344188
21780,328,0.00013954495581147306
21718,322,0.00013699230418077538
20153,320,0.00013614142030387617
21160,318,0.00013529053642697694
19565,313,0.00013316332673472887
21653,313,0.00013316332673472887
21395,313,0.00013316332673472887
21607,297,0.00012635625571953506
21770,296,0.00012593081378108544
21728,294,0.00012507992990418623
21059,293,0.00012465448796573661
20234,292,0.000124229046027287
21590,285,0.00012125095245813971
20203,282,0.00011997462664279087
21356,280,0.00011912374276589164
20446,279,0.00011869830082744203
21667,274,0.00011657109113519396
21236,270,0.00011486932338139552
21636,267,0.00011359299756604667
21580,265,0.00011274211368914745
21309,263,0.00011189122981224821
20287,262,0.00011146578787379861
21147,260,0.00011061490399689937
20308,258,0.00010976402012000015
20285,256,0.00010891313624310093
21605,247,0.00010508415879705442
21646,242,0.00010295694910480634
21308,238,0.00010125518135100789
20162,238,0.00010125518135100789
20261,238,0.00010125518135100789
20439,238,0.00010125518135100789
20273,236,0.00010040429747410867
21366,228,9.700076196651176e-05
21879,227,9.657532002806215e-05
21121,226,9.614987808961254e-05
19536,224,9.529899421271332e-05
20348,214,9.104457482821718e-05
21416,214,9.104457482821718e-05
21567,206,8.764103932062028e-05
21423,203,8.636471350527144e-05
21587,195,8.296117799767454e-05
21402,194,8.253573605922492e-05
21433,186,7.913220055162801e-05
21749,183,7.785587473627918e-05
21084,183,7.785587473627918e-05
21186,182,7.743043279782957e-05
21626,181,7.700499085937995e-05
21707,176,7.487778116713188e-05
21694,172,7.317601341333344e-05
21552,170,7.232512953643421e-05
22020,169,7.18996875979846e-05
21631,168,7.147424565953498e-05
21659,165,7.019791984418615e-05
21693,165,7.019791984418615e-05
21613,164,6.977247790573653e-05
19616,162,6.892159402883731e-05
20208,160,6.807071015193809e-05
22010,156,6.636894239813963e-05
21463,155,6.594350045969001e-05
21447,152,6.466717464434118e-05
21142,152,6.466717464434118e-05
21656,148,6.296540689054272e-05
21814,146,6.21145230136435e-05
21624,139,5.9136429444496204e-05
21136,138,5.871098750604659e-05
21582,136,5.786010362914737e-05
19747,136,5.786010362914737e-05
22001,136,5.786010362914737e-05
21601,131,5.5732893936899305e-05
21670,128,5.4456568121550463e-05
21735,127,5.403112618310085e-05
19804,126,5.360568424465124e-05
21411,125,5.318024230620162e-05
21406,122,5.190391649085279e-05
20222,120,5.105303261395356e-05
20080,120,5.105303261395356e-05
21614,118,5.0202148737054335e-05
21692,118,5.0202148737054335e-05
21608,117,4.977670679860472e-05
21630,117,4.977670679860472e-05
21528,116,4.9351264860155105e-05
19855,107,4.552228741410859e-05
21944,103,4.382051966031014e-05
21655,95,4.0416984152713236e-05
21421,94,3.9991542214263625e-05
21738,92,3.9140658337364395e-05
21306,91,3.871521639891478e-05
21548,90,3.828977446046517e-05
20209,88,3.743889058356594e-05
21134,86,3.658800670666672e-05
21331,86,3.658800670666672e-05
22030,80,3.403535507596904e-05
21964,78,3.318447119906981e-05
21040,77,3.27590292606202e-05
21258,70,2.978093569147291e-05
21651,70,2.978093569147291e-05
21677,70,2.978093569147291e-05
21995,68,2.8930051814573685e-05
20210,68,2.8930051814573685e-05
19563,68,2.8930051814573685e-05
21407,66,2.8079167937674458e-05
21657,64,2.7228284060775232e-05
21821,60,2.552651630697678e-05
20227,60,2.552651630697678e-05
21673,60,2.552651630697678e-05
20289,58,2.4675632430077552e-05
21869,57,2.425019049162794e-05
21954,57,2.425019049162794e-05
20267,57,2.425019049162794e-05
21760,56,2.382474855317833e-05
21672,53,2.2548422737829488e-05
21875,53,2.2548422737829488e-05
20373,48,2.0421213045581424e-05
21266,48,2.0421213045581424e-05
21467,46,1.9570329168682197e-05
21569,45,1.9144887230232586e-05
21785,43,1.829400335333336e-05
20104,41,1.7443119476434133e-05
21035,39,1.6592235599534907e-05
21969,37,1.574135172263568e-05
21939,36,1.531590978418607e-05
21860,36,1.531590978418607e-05
22002,32,1.3614142030387616e-05
22025,31,1.3188700091938003e-05
21949,30,1.276325815348839e-05
21261,30,1.276325815348839e-05
20266,30,1.276325815348839e-05
21649,28,1.1912374276589165e-05
21854,27,1.1486932338139552e-05
21919,27,1.1486932338139552e-05
21781,26,1.1061490399689938e-05
21573,25,1.0636048461240325e-05
21574,24,1.0210606522790712e-05
19575,22,9.359722645891485e-06
21158,22,9.359722645891485e-06
21774,20,8.50883876899226e-06
21131,19,8.083396830542648e-06
22052,14,5.956187138294582e-06
21452,13,5.530745199844969e-06
20359,10,4.25441938449613e-06
20300,10,4.25441938449613e-06
21835,8,3.403535507596904e-06
21008,7,2.978093569147291e-06
21985,7,2.978093569147291e-06
22005,6,2.552651630697678e-06
22016,6,2.552651630697678e-06
22061,5,2.127209692248065e-06
21889,5,2.127209692248065e-06
21733,5,2.127209692248065e-06
21205,4,1.701767753798452e-06
22062,4,1.701767753798452e-06
22036,4,1.701767753798452e-06
22057,4,1.701767753798452e-06
22035,2,8.50883876899226e-07
