,unique_carrier,airline_id,unique_carrier_name,region,carrier,carrier_name,carrier_group,carrier_group_new,origin_airport_id,origin_city_market_id,origin,origin_city_name,origin_country,origin_country_name,dest_airport_id,dest_city_market_id,dest,dest_city_name,dest_country,dest_country_name,aircraft_group,aircraft_type,aircraft_config,year,month,distance_group,class,data_source
count,377.0,377.0,377.0,6.0,388.0,396.0,4.0,8.0,2513.0,2215.0,2515.0,2280.0,155.0,155.0,2564.0,2260.0,2567.0,2330.0,169.0,169.0,9.0,199.0,4.0,5.0,12.0,21.0,4.0,4.0
mean,6234.740053050398,6234.740053050398,6234.740053050398,391749.5,6057.981958762886,5935.598484848485,587624.25,293812.125,935.3350576999602,1061.172460496614,934.5912524850895,1030.9197368421053,15164.477419354838,15164.496774193549,916.7304992199688,1040.0429203539823,915.6591351772497,1008.7969957081546,13908.266272189348,13908.266272189348,261166.33333333334,11811.542713567838,587624.25,470099.4,195874.75,111928.42857142857,587624.25,587624.25
standard_deviation,22209.26203189554,22209.26203189554,22209.26203189554,756335.1961202784,21903.469969035228,21562.527477973854,540824.3923797415,455757.1693169942,4363.925485713207,5672.6191612166585,4362.260404154544,4897.986785174642,170829.4081511643,170829.40642205416,4314.006001686686,5612.831354140322,4311.588155691114,4842.663288128686,163393.1292861567,163393.1292861567,605859.7900739907,29168.405539627573,922231.1064938748,12103.529786801866,5709.017812755854,240069.96688706637,798656.8427204828,871819.1248783106
variance,493251320.00139683,493251320.00139683,493251320.00139683,572042928890.3,479761996.68442816,464942591.23837745,292491023392.9167,207714597383.8393,19043845.644857254,32178608.14820239,19029315.83365456,23990274.54774543,29182686689.277077,29182686098.511364,18610647.78258875,31503875.810020685,18589792.4242959,23451387.72218934,26697314697.92272,26697314697.92272,367066085228.50006,850795881.7241765,850510213784.9166,146495433.3,32592884.386363637,57633589001.15714,637852752424.25,760068586503.5834
range,215862.0,215862.0,215862.0,1924294.0,215862.0,215862.0,1177207.0,1382663.0,78216.0,108073.0,78216.0,90610.0,2127389.0,2127388.0,77501.0,109965.0,77501.0,90118.0,2124595.0,2124595.0,1864850.0,212131.0,1935583.0,32488.0,18794.0,937387.0,1705149.0,1871190.0
minimum,2.0,2.0,2.0,558.0,2.0,2.0,207204.0,1748.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1683.0,1.0,22213.0,453899.0,187494.0,4.0,74008.0,15149.0
Q1/25%,152.0,152.0,152.0,23935.0,144.25,152.0,280247.25,61843.0,3.0,3.0,3.0,3.0,14.5,14.5,3.0,3.0,3.0,3.0,7.0,7.0,3009.0,198.0,51640.0,464430.0,191082.75,3114.0,197119.0,147828.5
median/Q2/50%,633.0,633.0,633.0,82844.0,625.0,592.0,379441.0,144688.5,24.0,26.0,24.0,27.0,209.0,209.0,23.0,25.0,23.0,25.5,167.0,167.0,47804.0,1424.0,185244.0,470597.0,195471.0,19785.0,248666.0,224504.5
Q3/75%,2592.0,2592.0,2592.0,212036.25,2426.75,2591.25,686818.0,287188.25,289.0,312.0,290.0,323.25,1063.0,1063.0,276.75,308.25,277.5,314.75,1008.0,1008.0,102903.0,7472.5,721228.25,475184.0,199832.5,32142.0,639171.25,664300.25
maximum,215864.0,215864.0,215864.0,1924852.0,215864.0,215864.0,1384411.0,1384411.0,78217.0,108074.0,78217.0,90611.0,2127389.0,2127389.0,77502.0,109966.0,77502.0,90119.0,2124596.0,2124596.0,1866533.0,212132.0,1957796.0,486387.0,206288.0,937391.0,1779157.0,1886339.0
interquartile_range (IQR),2440.0,2440.0,2440.0,188101.25,2282.5,2439.25,406570.75,225345.25,286.0,309.0,287.0,320.25,1048.5,1048.5,273.75,305.25,274.5,311.75,1001.0,1001.0,99894.0,7274.5,669588.25,10754.0,8749.75,29028.0,442052.25,516471.75
skewness,0.7566762072065518,0.7566762072065518,0.7566762072065518,1.22527221363453,0.7441262000646636,0.7434562330840357,1.1548106165327514,0.9815992048362903,0.6265013419799618,0.5474574078094417,0.6262289511312926,0.6148973736806292,0.2626388087603916,0.26263915131644666,0.6215085228466573,0.5425298871336475,0.621111597126208,0.6091464162614469,0.25229823920179173,0.25229823920179173,1.0564936153327311,1.0683692702491616,1.308935191515379,-0.12333592152825816,0.2121643406495707,1.151457174334197,1.2732311245668373,1.2495243782958465
