dest_airport_id,frequency,relative_frequency
13930,77502,0.032972601113721904
10397,65739,0.027968127591739108
11292,57148,0.024313155898518485
12892,50763,0.021596709121517704
12266,46303,0.01969923807603243
11298,44279,0.018838143592610414
11433,43604,0.018550970284156924
13487,43503,0.018508000648373515
11618,41527,0.017667327377997078
13303,40683,0.017308254381945606
12478,38149,0.016230184509914286
11057,35523,0.015112973979545603
14771,32820,0.013963004419916299
14100,31857,0.01355330383318932
14747,31809,0.01353288262014374
14107,30630,0.013031286574711646
13204,30149,0.012826649002317381
12889,29389,0.012503313129095677
13244,28554,0.01214806911049025
12264,26837,0.011417585302172264
11697,25977,0.011051705235105597
10721,25907,0.011021924299414124
14869,25425,0.01081686128508141
10299,25122,0.010687952377731178
12953,22463,0.009556702263393656
10551,22041,0.00937716576536792
14730,20139,0.008567975198436757
11278,19871,0.00845395675893226
10821,19274,0.00819996792167784
12339,19041,0.008100839950019081
11193,18817,0.008005540955806368
14057,17392,0.007399286193515669
15304,16954,0.007212942624474738
10423,15619,0.006644977636644505
10693,15487,0.006588819300769156
15016,15070,0.006411410012435668
14679,14881,0.006331001486068691
16271,14742,0.006271865056624195
14492,14617,0.006218684814317993
13198,13568,0.005772396220884349
14122,13510,0.005747720588454272
13495,13218,0.005623491542426985
13796,12563,0.005344827072742488
11042,12394,0.005272927385144503
13232,12193,0.0051874135555161315
14683,11977,0.005095518096811015
11630,11349,0.004828340559464658
12173,10669,0.004539040041318921
13342,10420,0.004433104998644967
14831,9776,0.004159120390283416
11066,9691,0.0041229578255152
11259,9668,0.004113172660930859
14635,9399,0.003998728779487913
14843,9225,0.0039247018821976795
13873,9177,0.0039042806691520983
12191,9010,0.003833231865431013
10529,8202,0.003489474779163726
13891,8198,0.0034877730114099273
14893,7984,0.0033967284365817104
13970,7759,0.0033010040004305473
14761,7581,0.003225275335386516
13871,7549,0.0032116611933561286
11032,7441,0.0031657134640035705
12451,7363,0.0031325289928045004
10792,7118,0.003028295717884345
13851,6945,0.0029546942625325624
10140,6689,0.0028457811262894614
13252,6683,0.002843228474658764
16229,6614,0.0028138729809057406
14027,6549,0.0027862192549065155
14524,6282,0.002672626257340469
12523,6143,0.002613489827895973
11986,5800,0.0024675632430077553
12972,5795,0.002465436033315507
10994,5758,0.0024496946815928716
13931,5711,0.00242969891048574
15370,5654,0.0024054487199941118
14112,5499,0.002339505219534422
10304,5297,0.0022535659479676
11423,5292,0.002251438738275352
16217,5216,0.0022191051509531812
15096,5144,0.002188473331384809
10800,5100,0.002169753886093026
11540,5036,0.002142525602032251
12197,4980,0.002118700853479073
11884,4924,0.0020948761049258942
