dest,frequency,relative_frequency
ORD,77502,0.032972601113721904
ATL,65739,0.027968127591739108
DEN,57148,0.024313155898518485
LAX,50763,0.021596709121517704
IAH,46303,0.01969923807603243
DFW,44279,0.018838143592610414
DTW,43604,0.018550970284156924
MSP,43503,0.018508000648373515
EWR,41527,0.017667327377997078
MIA,40683,0.017308254381945606
JFK,38149,0.016230184509914286
CLT,35523,0.015112973979545603
SFO,32820,0.013963004419916299
PHL,31857,0.01355330383318932
SEA,31809,0.01353288262014374
PHX,30630,0.013031286574711646
MCO,30149,0.012826649002317381
LAS,29389,0.012503313129095677
MEM,28554,0.01214806911049025
IAD,26837,0.011417585302172264
FLL,25977,0.011051705235105597
BOS,25907,0.011021924299414124
SLC,25425,0.01081686128508141
ANC,25122,0.010687952377731178
LGA,22463,0.009556702263393656
BET,22041,0.00937716576536792
SDF,20139,0.008567975198436757
DCA,19871,0.00845395675893226
BWI,19274,0.00819996792167784
IND,19041,0.008100839950019081
CVG,18817,0.008005540955806368
PDX,17392,0.007399286193515669
TPA,16954,0.007212942624474738
AUS,15619,0.006644977636644505
BNA,15487,0.006588819300769156
STL,15070,0.006411410012435668
SAN,14881,0.006331001486068691
YYZ,14742,0.006271865056624195
RDU,14617,0.006218684814317993
MCI,13568,0.005772396220884349
PIT,13510,0.005747720588454272
MSY,13218,0.005623491542426985
OAK,12563,0.005344827072742488
CLE,12394,0.005272927385144503
MDW,12193,0.0051874135555161315
SAT,11977,0.005095518096811015
FAI,11349,0.004828340559464658
HNL,10669,0.004539040041318921
MKE,10420,0.004433104998644967
SJC,9776,0.004159120390283416
CMH,9691,0.0041229578255152
DAL,9668,0.004113172660930859
RSW,9399,0.003998728779487913
SJU,9225,0.0039247018821976795
OME,9177,0.0039042806691520983
HOU,9010,0.003833231865431013
BDL,8202,0.003489474779163726
ONT,8198,0.0034877730114099273
SMF,7984,0.0033967284365817104
OTZ,7759,0.0033010040004305473
SFB,7581,0.003225275335386516
OMA,7549,0.0032116611933561286
CUN,7441,0.0031657134640035705
JAX,7363,0.0031325289928045004
BUF,7118,0.003028295717884345
OKC,6945,0.0029546942625325624
ABQ,6689,0.0028457811262894614
MEX,6683,0.002843228474658764
YVR,6614,0.0028138729809057406
PBI,6549,0.0027862192549065155
RIC,6282,0.002672626257340469
JNU,6143,0.002613489827895973
GRR,5800,0.0024675632430077553
LHR,5795,0.002465436033315507
CHS,5758,0.0024496946815928716
ORF,5711,0.00242969891048574
TUL,5654,0.0024054487199941118
PIE,5499,0.002339505219534422
ANI,5297,0.0022535659479676
DSM,5292,0.002251438738275352
YUL,5216,0.0022191051509531812
SYR,5144,0.002188473331384809
BUR,5100,0.002169753886093026
ELP,5036,0.002142525602032251
HPN,4980,0.002118700853479073
GEG,4924,0.0020948761049258942
YYC,4922,0.0020940252210489953
MSN,4914,0.0020906216855413984
BOI,4900,0.002084665498403104
GSO,4848,0.002062542517603724
UNK,4801,0.002042546746496592
PVD,4780,0.00203361246578915
RNO,4736,0.002014893020497367
TYS,4696,0.0019978753429593828
SNA,4691,0.0019957481332671346
ICN,4673,0.0019880901783750414
GDL,4667,0.0019855375267443438
GSP,4632,0.001970647058898607
BHM,4502,0.0019153396069001578
ALB,4444,0.0018906639744700803
KSM,4440,0.0018889622067162818
NRT,4353,0.0018519487580711655
TEB,4343,0.0018476943386866692
IFP,4327,0.0018408872676714755
ROC,4316,0.0018362074063485298
AZA,4298,0.0018285494514564367
SJD,4237,0.0018025974932110102
TUS,4132,0.0017579260896738009
CDG,4121,0.0017532462283508551
EMK,3997,0.001700491427983103
SAV,3976,0.0016915571472756613
FRA,3926,0.0016702850503531807
LRD,3898,0.0016583726760765914
AMS,3774,0.0016056178757088394
PUJ,3756,0.0015979599208167463
YIP,3727,0.0015856221046017076
DAY,3706,0.0015766878238942658
OGG,3652,0.0015537139592179867
MDT,3606,0.0015341436300493044
PSP,3595,0.0015294637687263588
ICT,3590,0.0015273365590341107
COS,3557,0.0015132969750652734
MYR,3525,0.0014996828330348859
LIT,3488,0.0014839414813122502
PVR,3464,0.0014737308747894593
DLG,3372,0.001434590216452095
NAS,3357,0.0014282085873753509
GPT,3350,0.0014252304938062036
GUM,3309,0.0014077873743297694
CID,3305,0.001406085606575971
ADQ,3303,0.0014052347226990718
LEX,3301,0.0014043838388221725
AKN,3237,0.0013771555547613973
CAE,3225,0.001372050251500002
FSD,3201,0.0013618396449772113
PWM,3133,0.0013329095931626375
RFD,3078,0.0013095102865479087
XNA,2983,0.0012690933023951955
SHV,2970,0.0012635625571953506
MHT,2879,0.0012248473407964358
MBJ,2763,0.0011754960759362808
BOG,2742,0.001166561795228839
HSV,2741,0.0011661363532903893
SAL,2741,0.0011661363532903893
KOA,2714,0.0011546494209522496
WFB,2671,0.0011363554175989163
BZN,2663,0.0011329518820913194
FAR,2620,0.001114657878737986
BTV,2549,0.0010844515011080636
PTY,2466,0.0010491398202167456
BFI,2430,0.0010338239104325595
ABE,2426,0.001032122142678761
LBB,2419,0.0010291440491096138
BRW,2402,0.0010219115361559704
WTL,2346,0.000998086787602792
GAL,2336,0.000993832368218296
LCK,2334,0.0009929814843413968
SBN,2327,0.0009900033907722493
AUK,2317,0.0009857489713877533
KOT,2317,0.0009857489713877533
SCC,2304,0.0009802182261879084
