dest_country_name,frequency,relative_frequency
United States,2124596,0.903892240662294
Canada,43608,0.018552672051910725
Mexico,38133,0.01622337743889909
United Kingdom,10834,0.004609237961163107
Japan,7433,0.0031623099284959735
Germany,7315,0.003112107779758919
Dominican Republic,7153,0.0030431861857300817
The Bahamas,6252,0.0026598629991869804
France,5247,0.0022322938510451196
China,5237,0.0022280394316606233
South Korea,5024,0.002137420298770856
Colombia,4871,0.002072327682188065
Brazil,4210,0.0017911105608728708
Jamaica,3859,0.0016417804404770565
Netherlands,3789,0.0016119995047855836
Costa Rica,3179,0.0013524799223313198
El Salvador,2741,0.0011661363532903893
Spain,2737,0.0011644345855365908
Cuba,2581,0.0010980656431384512
Panama,2480,0.0010550960073550401
Italy,2239,0.0009525645001886835
Guatemala,2108,0.0008968316062517842
Honduras,2101,0.0008938535126826369
Hong Kong,2009,0.0008547128543452725
Ireland,1970,0.0008381206187457376
Aruba,1794,0.0007632428375786057
Cayman Islands,1728,0.0007351636696409313
Australia,1707,0.0007262293889334894
Switzerland,1684,0.0007164442243491483
Iceland,1591,0.0006768781240733343
United Arab Emirates,1485,0.0006317812785976753
Peru,1449,0.0006164653688134893
Belgium,1429,0.000607956530044497
Ecuador,1426,0.0006066802042291481
Taiwan,1382,0.0005879607589373652
Sint Maarten,1373,0.0005841317814913186
Turks and Caicos Islands,1340,0.0005700921975224815
Haiti,1208,0.0005139338616471325
Chile,1100,0.0004679861322945743
Denmark,1032,0.0004390560804800006
Belize,1026,0.00043650342884930294
Trinidad and Tobago,1012,0.00043054724171100834
Argentina,1008,0.0004288454739572099
Turkey,987,0.00041991119324976805
Venezuela,944,0.0004016171898964347
Bermuda,931,0.0003960864446965897
Nicaragua,919,0.00039098114143519433
Portugal,916,0.00038970481561984553
Luxembourg,842,0.00035822211217457415
Israel,835,0.0003552440186054268
Barbados,787,0.0003348228055598454
Norway,784,0.00033354647974449656
Sweden,771,0.00032801573454465164
Saint Kitts and Nevis,751,0.0003195068957756594
Russia,739,0.000314401592514264
New Zealand,713,0.00030334010211457405
Antigua and Barbuda,713,0.00030334010211457405
Saint Lucia,703,0.0002990856827300779
Qatar,680,0.00028930051814573686
Philippines,670,0.00028504609876124073
