distance_group,frequency,relative_frequency
1,937391,0.3988054441252212
2,618895,0.2633038884967732
3,331492,0.1410305990605391
4,179951,0.07655870226594631
5,84409,0.035911128582593384
8,32142,0.01367455478564746
6,32073,0.013645199291894438
9,31335,0.013331223141318623
10,20531,0.008734748438309004
7,20382,0.008671357589480013
11,19785,0.008417368752225592
12,12084,0.0051410403842251234
14,10450,0.004445868256798456
15,6772,0.0028810928071807793
13,6432,0.002736442548107911
16,3114,0.0013248261963320948
17,2793,0.0011882593340897692
18,293,0.00012465448796573661
19,129,5.4882010060000075e-05
20,40,1.701767753798452e-05
21,4,1.701767753798452e-06
