origin,frequency,relative_frequency
ORD,78217,0.03327679209971338
ATL,65253,0.027761362809652596
DEN,57153,0.024315283108210732
LAX,52241,0.022225512306546232
IAH,46173,0.01964393062403398
DTW,43928,0.0186888134722146
DFW,43244,0.018397811186315064
MSP,43207,0.018382069834592427
MIA,42800,0.018208914965643436
EWR,41148,0.017506084883324675
JFK,37504,0.015955774459614287
CLT,35573,0.015134246076468082
SFO,33314,0.014173172737510408
SEA,32069,0.01364349752414064
PHL,31885,0.01356521620746591
PHX,30805,0.013105738913940328
MCO,30174,0.012837285050778623
LAS,29597,0.012591805052293195
MEM,28455,0.012105950358583738
BOS,26489,0.0112695315075918
IAD,26426,0.011242728665469473
FLL,25945,0.011038091093075209
SLC,25645,0.010910458511540325
ANC,23924,0.010178272935468542
LGA,21619,0.009197629267342184
BET,21365,0.009089567014975982
SDF,19863,0.008450553223424664
DCA,19515,0.008302499428844198
CVG,19405,0.00825570081561474
BWI,19175,0.008157849169771329
IND,18919,0.008048936033528228
PDX,17616,0.007494585187728383
TPA,17400,0.007402689729023266
BNA,15528,0.006606262420245591
STL,15161,0.0064501252288345825
YYZ,15031,0.006394817776836133
SAN,14911,0.0063437647442221795
RDU,14827,0.006308027621392412
AUS,14760,0.0062795230115162875
PIT,13622,0.005795370085560628
MCI,13441,0.005718365094701248
MSY,13232,0.005629447729565279
CLE,12619,0.005368651821295666
OAK,12593,0.005357590330895976
MDW,11951,0.005084456606411325
SAT,11598,0.004934275602138612
HNL,11043,0.004698155326299076
FAI,10796,0.004593071167502022
MKE,10143,0.004315257581694425
SJC,9973,0.00424293245215799
SJU,9933,0.004225914774620006
CMH,9920,0.0042203840294201605
DAL,9552,0.004063821396070704
RSW,9270,0.003943846769427913
HOU,8900,0.0037864332522015557
OME,8876,0.003776222645678765
BDL,8616,0.0036656077416818656
ONT,8388,0.0035686069797153538
SMF,8289,0.003526488227808842
CUN,7899,0.003360565871813493
OMA,7730,0.0032886661842155083
OTZ,7606,0.0032359113838477563
JAX,7534,0.003205279564279384
SFB,7519,0.00319889793520264
BUF,7119,0.003028721159822795
MEX,6759,0.002875562061980934
ABQ,6714,0.0028564171747507017
YVR,6599,0.002807491351828996
PBI,6598,0.0028070659098905467
OKC,6563,0.00279217544204481
RIC,6297,0.0026790078864172132
LHR,6023,0.002562436795282019
JNU,5933,0.0025241470208215537
ORF,5712,0.0024301243524241893
GRR,5685,0.0024186374200860497
CHS,5684,0.0024182119781476
PIE,5535,0.002354821129318608
YUL,5379,0.002288452186920468
TUL,5361,0.0022807942320283753
SYR,5355,0.0022782415803976777
DSM,5314,0.0022607984609212435
BUR,5201,0.0022127235218764372
ELP,5187,0.0022067673347381427
ANI,5059,0.002152310766616592
BOI,5049,0.002148056347232096
YYC,5044,0.002145929137539848
HPN,4996,0.0021255079244942667
PVD,4971,0.002114871876033026
GSO,4805,0.0020442485142503903
SNA,4803,0.0020433976303734914
GEG,4798,0.0020412704206812433
GDL,4729,0.00201191492692822
MSN,4728,0.00201148948498977
LRD,4649,0.001977879571852251
ALB,4639,0.0019736251524677547
RNO,4606,0.0019595855684989174
ROC,4550,0.001935760819945739
GSP,4542,0.0019323572844381423
TYS,4486,0.001908532535884964
AZA,4422,0.0018813042518241888
TEB,4399,0.0018715190872398476
BHM,4379,0.0018630102484708552
SJD,4332,0.0018430144773637234
IFP,4310,0.001833654754717832
UNK,4287,0.001823869590133491
CDG,4215,0.0017932377705651187
TUS,4081,0.0017362285508128706
SAV,3984,0.0016949606827832582
YIP,3944,0.0016779430052452737
NRT,3911,0.0016639034212764365
PUJ,3908,0.0016626270954610877
FRA,3814,0.0016226355532468239
DAY,3804,0.0016183811338623278
OGG,3717,0.0015813676852172115
ICT,3678,0.0015647754496176767
KSM,3634,0.0015460560043258937
ICN,3597,0.001530314652603258
PSP,3585,0.0015252093493418625
MYR,3550,0.0015103188814961262
PVR,3524,0.0014992573910964362
NAS,3489,0.0014843669232506998
CID,3478,0.001479687061927754
MDT,3441,0.0014639457102051184
DLG,3418,0.0014541605456207772
