origin_country_name,frequency,relative_frequency
United States,2127389,0.9050804999963837
Canada,44096,0.018760287717874136
Mexico,38659,0.016447159898523588
United Kingdom,10526,0.004478201844120626
Dominican Republic,7437,0.003164011696249772
Japan,7166,0.003048716930929927
Germany,6976,0.0029678829626245003
The Bahamas,6419,0.002730911802908066
China,5962,0.0025364848370365927
France,5201,0.0022127235218764372
Colombia,4872,0.0020727531241265147
Jamaica,4096,0.0017426101798896148
South Korea,3919,0.0016673069567840334
Netherlands,3350,0.0014252304938062036
Costa Rica,3315,0.001410340025960467
Brazil,2958,0.0012584572539339552
Spain,2805,0.0011933646373511644
Cuba,2622,0.0011155087626148854
El Salvador,2554,0.0010865787108003116
Hong Kong,2504,0.001065306613877831
Italy,2379,0.0010121263715716293
Panama,2282,0.0009708585035420169
Honduras,2240,0.0009529899421271331
Ireland,2120,0.0009019369095131796
Aruba,1794,0.0007632428375786057
Iceland,1730,0.0007360145535178305
Cayman Islands,1723,0.0007330364599486832
Guatemala,1717,0.0007304838083179855
Peru,1708,0.000726654830871939
Switzerland,1684,0.0007164442243491483
Ecuador,1604,0.0006824088692731793
Turks and Caicos Islands,1394,0.0005930660621987605
United Arab Emirates,1353,0.0005756229427223263
Sint Maarten,1336,0.000568390429768683
Australia,1326,0.0005641360103841868
Taiwan,1259,0.0005356314005080628
Haiti,1205,0.0005126575358317837
Chile,1139,0.0004845783678941092
Belgium,1091,0.00046415715484852775
Denmark,1035,0.00044033240629534945
Trinidad and Tobago,1028,0.0004373543127262022
Belize,1015,0.0004318235675263572
Nicaragua,1005,0.00042756914814186107
Portugal,976,0.0004152313319268223
Bermuda,944,0.0004016171898964347
Turkey,925,0.00039353379306589204
Venezuela,903,0.00038417407042000054
Russia,827,0.00035184048309782993
Israel,824,0.00035056415728248113
Saint Kitts and Nevis,813,0.0003458842959595354
Argentina,806,0.00034290620239038806
Sweden,772,0.00032844117648310125
Saint Lucia,716,0.0003046164279299229
Antigua and Barbuda,707,0.0003007874504838764
Barbados,704,0.00029951112466852754
Luxembourg,701,0.00029823479885317873
Norway,683,0.00029057684396108566
Qatar,678,0.0002884496342688376
Philippines,608,0.0002586686985773647
New Zealand,527,0.00022420790156294605
India,421,0.00017911105608728708
Austria,400,0.0001701767753798452
Guyana,397,0.00016890044956449635
