unique_carrier,frequency,relative_frequency
DL,215864,0.09183759860148726
UA,188250,0.08008944491313964
WN,183181,0.07793287972713855
AA,133516,0.056803305854038526
OO,128046,0.05447613845071914
FX,96080,0.04087646144623882
H6,70693,0.030075766954818492
EV,68021,0.028938986095281127
G4,57462,0.024446744667191662
AS,56650,0.024101285813170576
YX,55821,0.023748594446195846
5X,52803,0.022464610675954916
B6,43686,0.018585856523109793
MQ,42850,0.018230187062565916
F9,42343,0.018014487999771962
NK,41762,0.01776730623353274
9E,39264,0.016704552271285606
OH,37165,0.015811549642479866
GV,33279,0.01415828226966467
7S,29803,0.012679446091613816
8E,28393,0.012079572958399861
YV,26983,0.011479699825185907
SY,23341,0.009930240285352417
G7,21389,0.009099777621498772
09Q,16691,0.007101051394662491
AX,15597,0.006635617913998614
5Y,15538,0.006610516839630087
ZW,14436,0.0061416798234586135
S5,12798,0.0054448059282781475
WS,12202,0.005191242532962177
8V,12127,0.005159334387578457
27Q,11854,0.005043188738381712
U7,11844,0.005038934318997216
CP,11741,0.004995113799336906
5V,10767,0.004580733351286983
Y4,10516,0.004473947424736131
GL,10179,0.00433057349147861
PT,10106,0.004299516229971789
04Q,9704,0.004128488570715044
QX,9658,0.004108918241546362
AC,9532,0.004055312557301711
4Y,8653,0.003681349093404501
J5,8624,0.0036690112771894626
2O,8366,0.0035592472570694623
ABX,8224,0.0034988345018096174
LF,8152,0.0034682026822412454
C5,8012,0.0034086408108582994
K2,7803,0.0033197234457223303
EM,7586,0.003227402545078764
KO,7310,0.003109980570066671
0WQ,7274,0.003094664660282485
LH,7159,0.0030457388373607793
KE,6955,0.0029589486819170583
US,6595,0.002805789584075198
13Q,6256,0.002661564766940779
V8,6145,0.0026143407117728717
BA,5686,0.0024190628620244996
WL,5640,0.0023994925328558172
HA,5501,0.002340356103411321
K3,5438,0.0023135532612889955
9K,5337,0.0022705836255055845
XP,4902,0.0020855163822800027
DY,4848,0.002062542517603724
KAH,4832,0.00205573544658853
GFQ,4778,0.0020327615819122507
M6,4737,0.002015318462435817
KAQ,4729,0.00201191492692822
AMQ,4655,0.0019804322234829486
QK,4648,0.001977454129913801
VX,4613,0.001962563662068065
AM,4592,0.001953629381360623
NC,4510,0.0019187431424077545
KLQ,4454,0.0018949183938545763
7H,4379,0.0018630102484708552
RV,4227,0.0017983430738265141
3M,4150,0.0017655840445658939
4W,3894,0.001656670908322793
8C,3887,0.0016536928147536456
VJT,3837,0.001632420717831165
AF,3779,0.0016077450854010875
KS,3735,0.0015890256401093045
4B,3669,0.00156094647217163
TA,3489,0.0014843669232506998
1AQ,3399,0.0014460771487902345
3F,3192,0.0013580106675311647
AV,3189,0.0013567343417158159
VS,3118,0.0013265279640858932
CX,3082,0.0013112120543017072
KD,2982,0.001268667860456746
PO,2956,0.001257606370057056
Z3,2941,0.0012512247409803118
YR,2935,0.0012486720893496142
LA,2711,0.0011533730951369008
KL,2640,0.0011231667175069784
CM,2592,0.001102745504461397
