unique_carrier_name,frequency,relative_frequency
Delta Air Lines Inc.,215864,0.09183759860148726
United Air Lines Inc.,188250,0.08008944491313964
Southwest Airlines Co.,183181,0.07793287972713855
American Airlines Inc.,133516,0.056803305854038526
SkyWest Airlines Inc.,128046,0.05447613845071914
Federal Express Corporation,96080,0.04087646144623882
Hageland Aviation Service,70693,0.030075766954818492
ExpressJet Airlines LLC,68021,0.028938986095281127
Allegiant Air,57462,0.024446744667191662
Alaska Airlines Inc.,56650,0.024101285813170576
Republic Airline,55821,0.023748594446195846
United Parcel Service,52803,0.022464610675954916
JetBlue Airways,43686,0.018585856523109793
Envoy Air,42850,0.018230187062565916
Frontier Airlines Inc.,42343,0.018014487999771962
Spirit Air Lines,41762,0.01776730623353274
Endeavor Air Inc.,39264,0.016704552271285606
PSA Airlines Inc.,37165,0.015811549642479866
Grant Aviation,33279,0.01415828226966467
Ryan Air f/k/a Arctic Transportation,29803,0.012679446091613816
Bering Air Inc.,28393,0.012079572958399861
Mesa Airlines Inc.,26983,0.011479699825185907
Sun Country Airlines d/b/a MN Airlines,23341,0.009930240285352417
GoJet Airlines LLC d/b/a United Express,21389,0.009099777621498772
"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",16691,0.007101051394662491
Trans States Airlines,15597,0.006635617913998614
Atlas Air Inc.,15538,0.006610516839630087
Air Wisconsin Airlines Corp,14436,0.0061416798234586135
Shuttle America Corp.,12798,0.0054448059282781475
Westjet,12202,0.005191242532962177
Wright Air Service,12127,0.005159334387578457
"Jet Aviation Flight Services, Inc.",11854,0.005043188738381712
USA Jet Airlines Inc.,11844,0.005038934318997216
Compass Airlines,11741,0.004995113799336906
Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,10767,0.004580733351286983
Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),10516,0.004473947424736131
Miami Air International,10179,0.00433057349147861
Piedmont Airlines,10106,0.004299516229971789
Tradewind Aviation,9704,0.004128488570715044
Horizon Air,9658,0.004108918241546362
Air Canada,9532,0.004055312557301711
Yute Air Aka Flight Alaska,8653,0.003681349093404501
Kalinin Aviation LLC d/b/a Alaska Seaplanes,8624,0.0036690112771894626
Island Air Service,8366,0.0035592472570694623
ABX Air Inc,8224,0.0034988345018096174
CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,8152,0.0034682026822412454
"Commutair Aka Champlain Enterprises, Inc.",8012,0.0034086408108582994
"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service",7803,0.0033197234457223303
Empire Airlines Inc.,7586,0.003227402545078764
Alaska Central Express,7310,0.003109980570066671
Avjet Corporation,7274,0.003094664660282485
Lufthansa German Airlines,7159,0.0030457388373607793
Korean Air Lines Co. Ltd.,6955,0.0029589486819170583
US Airways Inc.,6595,0.002805789584075198
Chartright Air Inc.,6256,0.002661564766940779
Iliamna Air Taxi,6145,0.0026143407117728717
British Airways Plc,5686,0.0024190628620244996
"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",5640,0.0023994925328558172
Hawaiian Airlines Inc.,5501,0.002340356103411321
Venture Travel LLC d/b/a Taquan Air Service,5438,0.0023135532612889955
Cape Air,5337,0.0022705836255055845
XTRA Airways,4902,0.0020855163822800027
Norwegian Air Shuttle ASA,4848,0.002062542517603724
Kenmore Air Harbor,4832,0.00205573544658853
Gulf And Caribbean Cargo,4778,0.0020327615819122507
Amerijet International,4737,0.002015318462435817
Kalitta Air LLC,4729,0.00201191492692822
Ameristar Air Cargo,4655,0.0019804322234829486
Jazz Aviation LP,4648,0.001977454129913801
Virgin America,4613,0.001962563662068065
Aeromexico,4592,0.001953629381360623
Northern Air Cargo Inc.,4510,0.0019187431424077545
Kalitta Charters II,4454,0.0018949183938545763
"Corvus Airlines, Inc d/b/a Era Aviation d/b/a Ravn Alaska",4379,0.0018630102484708552
Air Canada rouge LP,4227,0.0017983430738265141
Silver Airways,4150,0.0017655840445658939
Warbelow,3894,0.001656670908322793
Air Transport International,3887,0.0016536928147536456
VistaJet Limited,3837,0.001632420717831165
Compagnie Natl Air France,3779,0.0016077450854010875
Peninsula Airways Inc.,3735,0.0015890256401093045
Boutique Air,3669,0.00156094647217163
Taca International Airlines,3489,0.0014843669232506998
Via Airlines d/b/a Charter Air Transport,3399,0.0014460771487902345
"Pacific Airways, Inc.",3192,0.0013580106675311647
Aerovias Nacl De Colombia,3189,0.0013567343417158159
Virgin Atlantic Airways,3118,0.0013265279640858932
Cathay Pacific Airways Ltd.,3082,0.0013112120543017072
Western Global,2982,0.001268667860456746
Polar Air Cargo Airways,2956,0.001257606370057056
"Bidzy Ta Hot Aana, Inc. d/b/a Tanana Air Service",2941,0.0012512247409803118
"Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines",2935,0.0012486720893496142
Lan-Chile Airlines,2711,0.0011533730951369008
Klm Royal Dutch Airlines,2640,0.0011231667175069784
Compania Panamena (Copa),2592,0.001102745504461397
Lynden Air Cargo Airlines,2591,0.0011023200625229473
London Air Services Limited,2432,0.0010346747943094589
Asiana Airlines Inc.,2425,0.0010316967007403116
"Mokulele Flight Services, Inc.",2398,0.001020209768402172
China Airlines Ltd.,2344,0.000997235903725893
Air Georgian,2286,0.0009725602712958153
ABC Aerolineas SA de CV dba Interjet,2286,0.0009725602712958153
"Southern Airways Express, dba Mokulele Airlines",2275,0.0009678804099728695
Cargolux Airlines International S.A,2216,0.0009427793356043424
Sky Lease Cargo,2200,0.0009359722645891486
Japan Air Lines Co. Ltd.,2089,0.0008887482094212416
Emirates,2049,0.000871730531883257
Sky Regional Airlines Inc.,2046,0.0008704542060679082
Icelandair,1986,0.0008449276897609314
Southern Air Inc.,1920,0.0008168485218232569
Omni Air International LLC,1901,0.0008087651249927143
AirBridgeCargo Airlines Limited,1884,0.0008015326120390709
Great Lakes Airlines,1822,0.0007751552118551949
Eastern Airlines Group Inc.,1816,0.0007726025602244972
Scandinavian Airlines Sys.,1803,0.0007670718150246522
Eva Airways Corporation,1799,0.0007653700472708538
Aerolitoral,1781,0.0007577120923787608
Qantas Airways Ltd.,1766,0.0007513304633020166
Turk Hava Yollari A.O.,1750,0.0007445233922868228
Star Marianas Air Inc.,1743,0.0007415452987176754
"Air Charter, Inc d/b/a Air Flamenco",1708,0.000726654830871939
Spernak Airways Inc.,1618,0.0006883650564114738
Iberia Air Lines Of Spain,1610,0.0006849615209038769
Bahamasair Holding Limited,1602,0.00068155798539628
All Nippon Airways Co.,1590,0.0006764526821348846
"ADVANCED AIR, LLC",1586,0.0006747509143810863
"Multi-Aero, Inc. d/b/a Air Choice One",1480,0.0006296540689054273
Air China,1476,0.0006279523011516288
"Seaborne Virgin Islands, Inc.",1438,0.0006117855074905435
"Scott Aviation, LLC  d/b/a  Silver Air",1431,0.0006088074139213962
Hainan Airlines Company Limited,1401,0.0005960441557679078
Tropic Ocean Airways LLC,1396,0.0005939169460756598
Singapore Airlines Ltd.,1389,0.0005909388525065125
Transportes Aeros Meridiona,1367,0.000581579129860621
Caribbean Airlines Limited,1362,0.000579451920168373
Qatar Airways (Q.C.S.C),1352,0.0005751975007838768
Swiss International Airlines,1350,0.0005743466169069775
Aer Lingus Plc,1336,0.000568390429768683
Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,1262,0.0005369077263234116
Elite Airways LLC,1175,0.0004998942776782953
"Eastern Airlines f/k/a Dynamic Airways, LLC",1115,0.0004743677613713185
Aloha Air Cargo,1100,0.0004679861322945743
"Seaport Airlines, Inc.",1075,0.00045735008383333397
Air Transat,1068,0.0004543719902641867
Philippine Airlines Inc.,1054,0.0004484158031258921
Lan Colombia,1046,0.0004450122676182952
ABSA-Aerolinhas Brasileiras,1044,0.00044416138374139596
Air New Zealand,1008,0.0004288454739572099
Nippon Cargo Airlines,994,0.0004228892868189153
Harris Air Services,973,0.00041395500611147345
Cargojet Airways Ltd.,961,0.0004088497028500781
El Al Israel Airlines Ltd.,960,0.00040842426091162846
Etihad Airways,954,0.0004058716092809308
Smokey Bay Air Inc.,940,0.0003999154221426362
Sunwing Airlines Inc.,930,0.0003956610027581401
China Southern Airlines,919,0.00039098114143519433
China Eastern Airlines,918,0.0003905556994967447
Air Alsie A/S,885,0.0003765161155279075
Frontier Flying Service,881,0.00037481434777410905
Rhoades Aviation dba Transair,866,0.00036843271869736483
"Maritime Helicopters, Inc.",857,0.0003646037412513183
Air Excursions LLC,840,0.0003573712282976749
Polskie Linie Lotnicze,836,0.00035566946054387644
Tap-Portuguese Airlines,832,0.000353967692790078
Compagnia Aerea Italiana,830,0.0003531168089131788
Condor Flugdienst,819,0.00034843694759023304
"Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus",804,0.0003420553185134889
Asia Pacific,798,0.00033950266688279117
National Air Cargo Group Inc d/ba National Airlines,785,0.0003339719216829462
Scott Air LLC dba Island Air Express,764,0.0003250376409755043
Martinair Holland N.V.,756,0.0003216341054679074
Thomas Cook Airlines Uk Ltd.,756,0.0003216341054679074
Air Pacific Ltd.,735,0.00031269982476046554
