tail_num,op_unique_carrier
N902DE,DL
N845VA,AS
N524VA,AS
N361VA,AS
N637VA,AS
N623VA,AS
N625VA,AS
N836VA,AS
N622VA,AS
N521VA,AS
N526VA,AS
N624VA,AS
N844VA,AS
N286VA,AS
N640VA,AS
N927VA,AS
N629VA,AS
N926VA,AS
N855VA,AS
N527VA,AS
N626VA,AS
N632VA,AS
N849VA,AS
N638VA,AS
N282VA,AS
N530VA,AS
N839VA,AS
N842VA,AS
N621VA,AS
N852VA,AS
N633VA,AS
N522VA,AS
N634VA,AS
N635VA,AS
N627VA,AS
N835VA,AS
N528VA,AS
N847VA,AS
N283VA,AS
N923VA,AS
N641VA,AS
N284VA,AS
N837VA,AS
N428AS,AS
N413AS,AS
N491AS,AS
N461AS,AS
N267AK,AS
N293AK,AS
N558AS,AS
N469AS,AS
N277AK,AS
N402AS,AS
N589AS,AS
N584AS,AS
N317AS,AS
N611AS,AS
N275AK,AS
N553AS,AS
N506AS,AS
N408AS,AS
N532AS,AS
N513AS,AS
N528AS,AS
N442AS,AS
N434AS,AS
N288AK,AS
N285AK,AS
N563AS,AS
N273AK,AS
N224AK,AS
N263AK,AS
N526AS,AS
N838VA,AS
N364VA,AS
N636VA,AS
N642VA,AS
N854VA,AS
N365VA,AS
N851VA,AS
N535AS,AS
N302AS,AS
N248AK,AS
N549AS,AS
N564AS,AS
N546AS,AS
N925VA,AS
N928VA,AS
N924VA,AS
N433AS,AS
N303AS,AS
N266AK,AS
N477AS,AS
N560AS,AS
N552AS,AS
N562AS,AS
N296AK,AS
N253AK,AS
N512AS,AS
N566AS,AS
N265AK,AS
N309AS,AS
N12540,EV
N12167,EV
N884AS,EV
N583AS,AS
N533AS,AS
N448AS,AS
N305AS,AS
N306AS,AS
N597AS,AS
N508AS,AS
N581AS,AS
N516AS,AS
N478AS,AS
N462AS,AS
N843VA,AS
N518AS,AS
N592AS,AS
N596AS,AS
N468AS,AS
N565AS,AS
N536AS,AS
N530AS,AS
N15986,EV
N538AS,AS
N529AS,AS
N570AS,AS
N588AS,AS
N559AS,AS
N13989,EV
N27200,EV
N513MJ,YV
N504MJ,YV
N514MJ,YV
N518LR,YV
N84307,YV
N512MJ,YV
N515MJ,YV
N87303,YV
N86309,YV
N86324,YV
N86344,YV
N88335,YV
N87360,YV
N88332,YV
N652RW,YX
N651RW,YX
N89313,YV
N82314,YV
N88330,YV
N88327,YV
N89321,YV
N88326,YV
N85352,YV
N85354,YV
N501MJ,YV
N11536,EV
N14904,EV
N14562,EV
N12900,EV
N21537,EV
N11544,EV
