count,mean
1,-1290
1,-475
1,-260
1,-258
1,-254
1,-253
1,-247
1,-245
1,-244
1,-243
1,-241
1,-233
1,-231
1,-230
1,-227
2,-222
1,-220
1,-219
1,-217
1,-214
1,-208
1,-200
2,-198
1,-197
1,-195
2,-194
1,-191
1,-190
1,-186
1,-182
1,-177
1,-176
2,-175
1,-172
1,-170
2,-169
1,-166
1,-165
1,-163
1,-161
1,-160
1,-158
1,-156
1,-155
1,-154
1,-151
1,-147
2,-145
1,-142
3,-140
1,-138
2,-136
1,-132
2,-130
2,-129
2,-126
1,-125
1,-124
1,-123
2,-121
2,-120
1,-119
1,-117
1,-112
2,-108
1,-107
2,-106
1,-104
1,-102
1,-100
1,-99
1,-98
1,-97
5,-94
1,-93
2,-91
1,-90
3,-89
3,-88
4,-87
3,-86
6,-85
8,-84
11,-83
7,-82
13,-81
14,-80
10,-79
17,-78
20,-77
16,-76
27,-75
31,-74
51,-73
37,-72
53,-71
72,-70
88,-69
93,-68
130,-67
137,-66
175,-65
203,-64
219,-63
297,-62
344,-61
368,-60
443,-59
551,-58
632,-57
782,-56
932,-55
1103,-54
1272,-53
1479,-52
1810,-51
2204,-50
2580,-49
3125,-48
3774,-47
4426,-46
5436,-45
6419,-44
7717,-43
9408,-42
11121,-41
13470,-40
15973,-39
19167,-38
22661,-37
27229,-36
32257,-35
38619,-34
45401,-33
53263,-32
62726,-31
73425,-30
85915,-29
99924,-28
116275,-27
133977,-26
154933,-25
175890,-24
200248,-23
225742,-22
252309,-21
281345,-20
308598,-19
338040,-18
366276,-17
391206,-16
415607,-15
433514,-14
449118,-13
458015,-12
462893,-11
464261,-10
459674,-9
450733,-8
435752,-7
418536,-6
400831,-5
379196,-4
357135,-3
337330,-2
316404,-1
298492,0
269921,1
251517,2
233647,3
215503,4
202255,5
186977,6
174012,7
161960,8
150897,9
140717,10
132275,11
122607,12
115385,13
108435,14
101908,15
95758,16
90085,17
85309,18
80261,19
76961,20
72564,21
68806,22
65428,23
62424,24
59939,25
56477,26
53991,27
51450,28
49702,29
47746,30
45780,31
43616,32
42120,33
40418,34
39047,35
37650,36
36358,37
34949,38
33749,39
32678,40
31626,41
30586,42
29591,43
28503,44
27787,45
26893,46
26227,47
25622,48
24440,49
24080,50
23194,51
22677,52
21908,53
21423,54
21021,55
20224,56
19714,57
19294,58
18979,59
18498,60
17794,61
17423,62
17127,63
16682,64
16295,65
15839,66
15538,67
15232,68
14936,69
14408,70
14115,71
14057,72
13669,73
13332,74
13077,75
12726,76
12617,77
12136,78
11983,79
11672,80
11473,81
11341,82
11031,83
10579,84
10583,85
10426,86
10211,87
9891,88
9731,89
9535,90
9524,91
9346,92
9286,93
8874,94
8687,95
8575,96
8392,97
8356,98
8146,99
7932,100
7769,101
7641,102
7647,103
7419,104
7450,105
7249,106
6983,107
7149,108
6712,109
6911,110
6754,111
6476,112
6497,113
6263,114
6253,115
6134,116
5961,117
5850,118
5878,119
5806,120
5654,121
5540,122
5533,123
5331,124
5384,125
5100,126
5074,127
4995,128
4903,129
4815,130
4570,131
4728,132
4592,133
4577,134
4541,135
4463,136
4366,137
4312,138
4187,139
4083,140
4043,141
3975,142
3909,143
3923,144
3833,145
3896,146
3746,147
3600,148
3642,149
3514,150
3431,151
3409,152
3299,153
3321,154
3295,155
3239,156
3175,157
3119,158
3150,159
3025,160
3025,161
2952,162
2816,163
2909,164
2730,165
2776,166
2738,167
2715,168
2688,169
2626,170
2583,171
2493,172
2417,173
2405,174
2447,175
2444,176
2337,177
2355,178
2247,179
2338,180
2175,181
2260,182
2213,183
2073,184
2148,185
2043,186
2052,187
1952,188
2058,189
1863,190
1956,191
1843,192
1892,193
1851,194
1892,195
1796,196
1776,197
1767,198
1713,199
1690,200
1684,201
1615,202
1610,203
1668,204
1590,205
1537,206
1528,207
1572,208
1505,209
1511,210
1436,211
1457,212
1419,213
1366,214
1365,215
1334,216
1282,217
1289,218
1351,219
1273,220
1221,221
1263,222
1238,223
1230,224
1152,225
1138,226
1139,227
1125,228
1204,229
1074,230
1123,231
1082,232
1023,233
1057,234
1093,235
1011,236
1024,237
978,238
969,239
982,240
923,241
926,242
936,243
938,244
868,245
940,246
923,247
891,248
880,249
834,250
902,251
869,252
809,253
764,254
765,255
767,256
796,257
801,258
732,259
761,260
719,261
721,262
705,263
753,264
675,265
716,266
656,267
661,268
645,269
677,270
602,271
604,272
666,273
606,274
571,275
568,276
603,277
575,278
600,279
551,280
528,281
518,282
571,283
511,284
557,285
496,286
521,287
531,288
505,289
508,290
534,291
472,292
517,293
514,294
472,295
471,296
455,297
453,298
477,299
449,300
431,301
420,302
435,303
415,304
394,305
457,306
437,307
382,308
395,309
402,310
420,311
396,312
381,313
358,314
365,315
355,316
344,317
351,318
360,319
344,320
354,321
357,322
311,323
327,324
310,325
343,326
322,327
321,328
326,329
310,330
298,331
324,332
300,333
277,334
279,335
275,336
274,337
286,338
304,339
286,340
292,341
298,342
290,343
276,344
250,345
261,346
244,347
255,348
246,349
280,350
220,351
232,352
240,353
232,354
233,355
258,356
230,357
236,358
218,359
216,360
213,361
236,362
221,363
222,364
219,365
218,366
199,367
200,368
202,369
202,370
167,371
213,372
199,373
187,374
192,375
172,376
175,377
164,378
195,379
167,380
188,381
180,382
172,383
138,384
174,385
168,386
170,387
167,388
159,389
152,390
153,391
147,392
174,393
149,394
148,395
149,396
195,397
129,398
142,399
151,400
136,401
136,402
145,403
146,404
127,405
130,406
116,407
125,408
120,409
132,410
124,411
135,412
124,413
125,414
122,415
93,416
115,417
132,418
128,419
107,420
117,421
98,422
132,423
116,424
121,425
123,426
107,427
105,428
93,429
137,430
104,431
117,432
93,433
114,434
105,435
94,436
111,437
106,438
100,439
87,440
90,441
100,442
99,443
97,444
83,445
84,446
104,447
89,448
87,449
81,450
87,451
100,452
87,453
77,454
91,455
83,456
77,457
84,458
80,459
86,460
76,461
72,462
86,463
72,464
87,465
83,466
73,467
66,468
79,469
76,470
95,471
65,472
75,473
84,474
74,475
72,476
73,477
65,478
76,479
87,480
100,481
78,482
57,483
65,484
88,485
63,486
71,487
61,488
73,489
68,490
61,491
67,492
81,493
60,494
54,495
60,496
69,497
64,498
50,499
61,500
53,501
48,502
69,503
64,504
61,505
52,506
73,507
72,508
60,509
50,510
60,511
56,512
50,513
66,514
49,515
54,516
44,517
48,518
55,519
48,520
59,521
57,522
41,523
60,524
45,525
47,526
66,527
47,528
52,529
53,530
46,531
53,532
44,533
39,534
45,535
40,536
39,537
46,538
52,539
48,540
44,541
54,542
54,543
58,544
43,545
47,546
40,547
47,548
55,549
41,550
48,551
46,552
63,553
40,554
46,555
32,556
46,557
39,558
50,559
46,560
47,561
44,562
48,563
49,564
32,565
59,566
44,567
46,568
35,569
34,570
46,571
52,572
42,573
42,574
37,575
44,576
42,577
34,578
43,579
33,580
42,581
48,582
40,583
46,584
46,585
38,586
31,587
37,588
46,589
35,590
31,591
37,592
44,593
30,594
39,595
41,596
44,597
35,598
47,599
32,600
27,601
43,602
37,603
34,604
42,605
40,606
31,607
34,608
31,609
36,610
34,611
32,612
33,613
44,614
39,615
53,616
30,617
45,618
34,619
32,620
30,621
30,622
29,623
38,624
43,625
36,626
32,627
45,628
35,629
24,630
34,631
37,632
36,633
29,634
33,635
28,636
27,637
23,638
33,639
40,640
40,641
