dep_delay,flight_time_delay,arr_delay,dep_delay_prop,air_delay_prop,air_adjust_prop,dep_adjust_prop
36.0,-35.0,1.0,1.0,0.0,-0.97,0.0
31.0,-30.0,1.0,1.0,0.0,-0.97,0.0
24.0,-23.0,1.0,1.0,0.0,-0.96,0.0
27.0,-26.0,1.0,1.0,0.0,-0.96,0.0
23.0,-22.0,1.0,1.0,0.0,-0.96,0.0
19.0,-18.0,1.0,1.0,0.0,-0.95,0.0
21.0,-20.0,1.0,1.0,0.0,-0.95,0.0
20.0,-19.0,1.0,1.0,0.0,-0.95,0.0
19.0,-18.0,1.0,1.0,0.0,-0.95,0.0
19.0,-18.0,1.0,1.0,0.0,-0.95,0.0
18.0,-17.0,1.0,1.0,0.0,-0.94,0.0
16.0,-15.0,1.0,1.0,0.0,-0.94,0.0
17.0,-16.0,1.0,1.0,0.0,-0.94,0.0
16.0,-15.0,1.0,1.0,0.0,-0.94,0.0
14.0,-13.0,1.0,1.0,0.0,-0.93,0.0
30.0,-28.0,2.0,1.0,0.0,-0.93,0.0
29.0,-27.0,2.0,1.0,0.0,-0.93,0.0
28.0,-26.0,2.0,1.0,0.0,-0.93,0.0
15.0,-14.0,1.0,1.0,0.0,-0.93,0.0
12.0,-11.0,1.0,1.0,0.0,-0.92,0.0
12.0,-11.0,1.0,1.0,0.0,-0.92,0.0
13.0,-12.0,1.0,1.0,0.0,-0.92,0.0
12.0,-11.0,1.0,1.0,0.0,-0.92,0.0
37.0,-34.0,3.0,1.0,0.0,-0.92,0.0
13.0,-12.0,1.0,1.0,0.0,-0.92,0.0
12.0,-11.0,1.0,1.0,0.0,-0.92,0.0
11.0,-10.0,1.0,1.0,0.0,-0.91,0.0
29.0,-26.0,3.0,1.0,0.0,-0.9,0.0
10.0,-9.0,1.0,1.0,0.0,-0.9,0.0
30.0,-27.0,3.0,1.0,0.0,-0.9,0.0
31.0,-28.0,3.0,1.0,0.0,-0.9,0.0
9.0,-8.0,1.0,1.0,0.0,-0.89,0.0
9.0,-8.0,1.0,1.0,0.0,-0.89,0.0
19.0,-17.0,2.0,1.0,0.0,-0.89,0.0
9.0,-8.0,1.0,1.0,0.0,-0.89,0.0
18.0,-16.0,2.0,1.0,0.0,-0.89,0.0
18.0,-16.0,2.0,1.0,0.0,-0.89,0.0
18.0,-16.0,2.0,1.0,0.0,-0.89,0.0
9.0,-8.0,1.0,1.0,0.0,-0.89,0.0
9.0,-8.0,1.0,1.0,0.0,-0.89,0.0
9.0,-8.0,1.0,1.0,0.0,-0.89,0.0
16.0,-14.0,2.0,1.0,0.0,-0.88,0.0
25.0,-22.0,3.0,1.0,0.0,-0.88,0.0
8.0,-7.0,1.0,1.0,0.0,-0.88,0.0
17.0,-15.0,2.0,1.0,0.0,-0.88,0.0
17.0,-15.0,2.0,1.0,0.0,-0.88,0.0
16.0,-14.0,2.0,1.0,0.0,-0.88,0.0
8.0,-7.0,1.0,1.0,0.0,-0.88,0.0
24.0,-21.0,3.0,1.0,0.0,-0.88,0.0
25.0,-22.0,3.0,1.0,0.0,-0.88,0.0
31.0,-27.0,4.0,1.0,0.0,-0.87,0.0
15.0,-13.0,2.0,1.0,0.0,-0.87,0.0
15.0,-13.0,2.0,1.0,0.0,-0.87,0.0
15.0,-13.0,2.0,1.0,0.0,-0.87,0.0
7.0,-6.0,1.0,1.0,0.0,-0.86,0.0
7.0,-6.0,1.0,1.0,0.0,-0.86,0.0
37.0,-32.0,5.0,1.0,0.0,-0.86,0.0
14.0,-12.0,2.0,1.0,0.0,-0.86,0.0
21.0,-18.0,3.0,1.0,0.0,-0.86,0.0
21.0,-18.0,3.0,1.0,0.0,-0.86,0.0
7.0,-6.0,1.0,1.0,0.0,-0.86,0.0
7.0,-6.0,1.0,1.0,0.0,-0.86,0.0
14.0,-12.0,2.0,1.0,0.0,-0.86,0.0
21.0,-18.0,3.0,1.0,0.0,-0.86,0.0
21.0,-18.0,3.0,1.0,0.0,-0.86,0.0
34.0,-29.0,5.0,1.0,0.0,-0.85,0.0
13.0,-11.0,2.0,1.0,0.0,-0.85,0.0
13.0,-11.0,2.0,1.0,0.0,-0.85,0.0
19.0,-16.0,3.0,1.0,0.0,-0.84,0.0
19.0,-16.0,3.0,1.0,0.0,-0.84,0.0
19.0,-16.0,3.0,1.0,0.0,-0.84,0.0
6.0,-5.0,1.0,1.0,0.0,-0.83,0.0
6.0,-5.0,1.0,1.0,0.0,-0.83,0.0
12.0,-10.0,2.0,1.0,0.0,-0.83,0.0
12.0,-10.0,2.0,1.0,0.0,-0.83,0.0
6.0,-5.0,1.0,1.0,0.0,-0.83,0.0
23.0,-19.0,4.0,1.0,0.0,-0.83,0.0
18.0,-15.0,3.0,1.0,0.0,-0.83,0.0
6.0,-5.0,1.0,1.0,0.0,-0.83,0.0
11.0,-9.0,2.0,1.0,0.0,-0.82,0.0
17.0,-14.0,3.0,1.0,0.0,-0.82,0.0
16.0,-13.0,3.0,1.0,0.0,-0.81,0.0
21.0,-17.0,4.0,1.0,0.0,-0.81,0.0
27.0,-22.0,5.0,1.0,0.0,-0.81,0.0
32.0,-26.0,6.0,1.0,0.0,-0.81,0.0
10.0,-8.0,2.0,1.0,0.0,-0.8,0.0
30.0,-24.0,6.0,1.0,0.0,-0.8,0.0
30.0,-24.0,6.0,1.0,0.0,-0.8,0.0
10.0,-8.0,2.0,1.0,0.0,-0.8,0.0
5.0,-4.0,1.0,1.0,0.0,-0.8,0.0
5.0,-4.0,1.0,1.0,0.0,-0.8,0.0
5.0,-4.0,1.0,1.0,0.0,-0.8,0.0
10.0,-8.0,2.0,1.0,0.0,-0.8,0.0
20.0,-16.0,4.0,1.0,0.0,-0.8,0.0
20.0,-16.0,4.0,1.0,0.0,-0.8,0.0
5.0,-4.0,1.0,1.0,0.0,-0.8,0.0
5.0,-4.0,1.0,1.0,0.0,-0.8,0.0
10.0,-8.0,2.0,1.0,0.0,-0.8,0.0
20.0,-16.0,4.0,1.0,0.0,-0.8,0.0
25.0,-20.0,5.0,1.0,0.0,-0.8,0.0
