fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2019-03-08,AA,AA,AA,2649,AA,N842NN,2649,12889,LAS,"Las Vegas, NV",11298,DFW,"Dallas/Fort Worth, TX",2358,2350,-8,10,2400,401,4,434,405,-29,0,,0,N,156,135,121,1,1055,,,,,,,,,
2019-10-28,DL,DL_CODESHARE,DL,5140,9E,N136EV,5140,15380,TVC,"Traverse City, MI",11433,DTW,"Detroit, MI",1759,1750,-9,11,1801,1842,8,1914,1850,-24,0,,0,N,75,60,41,1,207,,,,,,,,,
2019-11-14,DL,DL,DL,2136,DL,N910DN,2136,10397,ATL,"Atlanta, GA",11540,ELP,"El Paso, TX",941,940,-1,10,950,1042,5,1100,1047,-13,0,,0,N,199,187,172,1,1282,,,,,,,,,
2019-03-17,AA,AA,AA,981,AA,N840NN,981,11057,CLT,"Charlotte, NC",10994,CHS,"Charleston, SC",1111,1105,-6,15,1120,1200,8,1208,1208,0,0,,0,N,57,63,40,1,168,,,,,,,,,
2018-11-01,AA,AA_CODESHARE,AA,4820,PT,N906AE,4820,10361,ART,"Watertown, NY",14100,PHL,"Philadelphia, PA",1200,1152,-8,13,1205,1305,11,1320,1316,-4,0,,0,N,80,84,60,1,287,,,,,,,,,
2018-03-22,DL,DL,DL,2206,DL,N959DL,2206,10397,ATL,"Atlanta, GA",13931,ORF,"Norfolk, VA",1442,1440,-2,9,1449,1604,3,1618,1607,-11,0,,0,N,96,87,75,1,516,,,,,,,,,
2018-11-08,AS,AS_CODESHARE,AS,3418,OO,N185SY,3418,10713,BOI,"Boise, ID",14869,SLC,"Salt Lake City, UT",910,904,-6,21,925,1014,6,1025,1020,-5,0,,0,N,75,76,49,1,290,,,,,,,,,
2019-07-03,WN,WN,WN,2232,WN,N251WN,2232,14679,SAN,"San Diego, CA",14107,PHX,"Phoenix, AZ",635,631,-4,32,703,753,4,805,757,-8,0,,0,N,90,86,50,1,304,,,,,,,,,
2018-02-14,DL,DL,DL,1217,DL,N3749D,1217,11433,DTW,"Detroit, MI",12889,LAS,"Las Vegas, NV",2015,2014,-1,21,2035,2214,6,2205,2220,15,0,,0,N,290,306,279,1,1749,0,0,15,0,0,,,,
2018-08-03,DL,DL,DL,2578,DL,N915DE,2578,12264,IAD,"Washington, DC",10397,ATL,"Atlanta, GA",947,944,-3,15,959,1119,10,1130,1129,-1,0,,0,N,103,105,80,1,534,,,,,,,,,
2018-01-28,UA,UA,UA,1542,UA,N449UA,1542,14771,SFO,"San Francisco, CA",11292,DEN,"Denver, CO",2033,2027,-6,14,2041,2342,6,2357,2348,-9,0,,0,N,144,141,121,1,967,,,,,,,,,
2019-10-02,WN,WN,WN,45,WN,N454WN,45,14576,ROC,"Rochester, NY",10821,BWI,"Baltimore, MD",1115,1124,9,11,1135,1224,3,1225,1227,2,0,,0,N,70,63,49,1,277,,,,,,,,,
2018-03-12,DL,DL_CODESHARE,DL,4495,OO,N613SK,4495,13232,MDW,"Chicago, IL",13487,MSP,"Minneapolis, MN",908,917,9,14,931,1037,6,1044,1043,-1,0,,0,N,96,86,66,1,349,,,,,,,,,
2018-05-15,AA,AA,AA,1090,AA,N995NN,1090,13930,ORD,"Chicago, IL",13303,MIA,"Miami, FL",835,1200,205,16,1216,1620,15,1242,1635,233,0,,0,N,187,215,184,1,1197,6,0,28,0,199,,,,
2018-04-15,AA,AA_CODESHARE,AA,5308,OH,N719PS,5308,11953,GNV,"Gainesville, FL",11057,CLT,"Charlotte, NC",1105,1053,-12,13,1106,1212,10,1236,1222,-14,0,,0,N,91,89,66,1,388,,,,,,,,,
2018-10-25,AA,AA_CODESHARE,AA,5334,OH,N504AE,5334,11057,CLT,"Charlotte, NC",14986,SRQ,"Sarasota/Bradenton, FL",745,743,-2,24,807,930,3,936,933,-3,0,,0,N,111,110,83,1,547,,,,,,,,,
2019-08-29,AA,AA_CODESHARE,AA,3347,MQ,N693AE,3347,13930,ORD,"Chicago, IL",13367,MLI,"Moline, IL",1705,1700,-5,22,1722,1750,3,1800,1753,-7,0,,0,N,55,53,28,1,139,,,,,,,,,
