fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2019-04-08,WN,WN,WN,1364,WN,N7878A,1364,14057,PDX,"Portland, OR",11292,DEN,"Denver, CO",1235,1325,50,7,1332,1626,6,1610,1632,22,0,,0,N,155,127,114,1,991,22,0,0,0,0,,,,
2019-04-08,WN,WN,WN,1383,WN,N705SW,1383,14057,PDX,"Portland, OR",11292,DEN,"Denver, CO",1520,1521,1,13,1534,1828,8,1845,1836,-9,0,,0,N,145,135,114,1,991,,,,,,,,,
2019-04-08,WN,WN,WN,1685,WN,N431WN,1685,14057,PDX,"Portland, OR",11292,DEN,"Denver, CO",1755,1754,-1,11,1805,2103,4,2125,2107,-18,0,,0,N,150,133,118,1,991,,,,,,,,,
2019-04-08,WN,WN,WN,2191,WN,N783SW,2191,14057,PDX,"Portland, OR",11292,DEN,"Denver, CO",710,709,-1,8,717,1011,7,1040,1018,-22,0,,0,N,150,129,114,1,991,,,,,,,,,
2019-04-08,WN,WN,WN,544,WN,N492WN,544,14057,PDX,"Portland, OR",12889,LAS,"Las Vegas, NV",2050,2125,35,22,2147,2334,5,2300,2339,39,0,,0,N,130,134,107,1,763,0,0,4,0,35,,,,
2019-04-08,WN,WN,WN,1966,WN,N204WN,1966,14057,PDX,"Portland, OR",12889,LAS,"Las Vegas, NV",740,749,9,15,804,954,3,950,957,7,0,,0,N,130,128,110,1,763,,,,,,,,,
2019-04-08,WN,WN,WN,2047,WN,N7715E,2047,14057,PDX,"Portland, OR",12889,LAS,"Las Vegas, NV",1825,1832,7,8,1840,2029,5,2030,2034,4,0,,0,N,125,122,109,1,763,,,,,,,,,
2019-04-08,WN,WN,WN,2071,WN,N449WN,2071,14057,PDX,"Portland, OR",12889,LAS,"Las Vegas, NV",1410,1403,-7,12,1415,1607,3,1620,1610,-10,0,,0,N,130,127,112,1,763,,,,,,,,,
2019-04-08,WN,WN,WN,344,WN,N7857B,344,14057,PDX,"Portland, OR",12892,LAX,"Los Angeles, CA",1640,1657,17,6,1703,1905,5,1905,1910,5,0,,0,N,145,133,122,1,834,,,,,,,,,
2019-04-08,WN,WN,WN,1069,WN,N462WN,1069,14057,PDX,"Portland, OR",12892,LAX,"Los Angeles, CA",815,812,-3,10,822,1023,5,1045,1028,-17,0,,0,N,150,136,121,1,834,,,,,,,,,
