departures_scheduled,departures_performed,payload,seats,passengers,freight,mail,distance,ramp_to_ramp,air_time,unique_carrier,airline_id,unique_carrier_name,region,carrier,carrier_name,carrier_group,carrier_group_new,origin_airport_id,origin_city_market_id,origin,origin_city_name,origin_country,origin_country_name,dest_airport_id,dest_city_market_id,dest,dest_city_name,dest_country,dest_country_name,aircraft_group,aircraft_type,aircraft_config,year,month,distance_group,class,data_source
2,2,75800,300,244,0,0,1020,310,259,AA,19805,American Airlines Inc.,D,AA,American Airlines Inc.,3,3,14107,30466,PHX,"Phoenix, AZ",US,United States,11884,31884,GEG,"Spokane, WA",US,United States,6,694,1,2017,3,3,F,DU
2,2,72400,256,219,458,950,255,140,90,AA,19805,American Airlines Inc.,D,AA,American Airlines Inc.,3,3,14107,30466,PHX,"Phoenix, AZ",US,United States,12889,32211,LAS,"Las Vegas, NV",US,United States,6,698,1,2017,3,1,F,DU
2,2,76000,300,240,75,335,601,208,174,AA,19805,American Airlines Inc.,D,AA,American Airlines Inc.,3,3,14107,30466,PHX,"Phoenix, AZ",US,United States,14570,34570,RNO,"Reno, NV",US,United States,6,694,1,2017,3,2,F,DU
2,2,104600,376,187,0,58,304,156,103,AA,19805,American Airlines Inc.,D,AA,American Airlines Inc.,3,3,14107,30466,PHX,"Phoenix, AZ",US,United States,14679,33570,SAN,"San Diego, CA",US,United States,6,622,1,2017,3,1,F,DU
2,2,72700,256,214,3,553,507,196,156,AA,19805,American Airlines Inc.,D,AA,American Airlines Inc.,3,3,14107,30466,PHX,"Phoenix, AZ",US,United States,14869,34614,SLC,"Salt Lake City, UT",US,United States,6,698,1,2017,3,2,F,DU
2,2,75400,300,225,24,2272,1814,550,519,AA,19805,American Airlines Inc.,D,AA,American Airlines Inc.,3,3,14122,30198,PIT,"Pittsburgh, PA",US,United States,14107,30466,PHX,"Phoenix, AZ",US,United States,6,694,1,2017,3,4,F,DU
2,2,51000,198,131,0,0,1061,353,312,AA,19805,American Airlines Inc.,D,AA,American Airlines Inc.,3,3,14492,34492,RDU,"Raleigh/Durham, NC",US,United States,11298,30194,DFW,"Dallas/Fort Worth, TX",US,United States,6,678,1,2017,3,3,F,DU
2,2,76000,300,265,0,916,601,287,167,AA,19805,American Airlines Inc.,D,AA,American Airlines Inc.,3,3,14570,34570,RNO,"Reno, NV",US,United States,14107,30466,PHX,"Phoenix, AZ",US,United States,6,694,1,2017,3,2,F,DU
2,2,80300,320,213,0,0,104,129,45,AA,19805,American Airlines Inc.,D,AA,American Airlines Inc.,3,3,14635,31714,RSW,"Fort Myers, FL",US,United States,13303,32467,MIA,"Miami, FL",US,United States,6,614,1,2017,3,1,F,DU
2,2,104600,376,369,0,198,304,159,109,AA,19805,American Airlines Inc.,D,AA,American Airlines Inc.,3,3,14679,33570,SAN,"San Diego, CA",US,United States,14107,30466,PHX,"Phoenix, AZ",US,United States,6,622,1,2017,3,1,F,DU
2,2,104600,352,289,288,14,1475,498,427,AA,19805,American Airlines Inc.,D,AA,American Airlines Inc.,3,3,14843,34819,SJU,"San Juan, PR",US,United States,11057,31057,CLT,"Charlotte, NC",US,United States,6,622,1,2017,3,3,F,DU
