month,year,carrier,total_gallons
2,2016,09Q,328697
3,2016,09Q,551159
4,2016,09Q,379161
5,2016,09Q,318452
7,2016,09Q,328601
8,2016,09Q,228567
9,2016,09Q,295122
10,2016,09Q,321959
11,2016,09Q,384931
12,2016,09Q,398112
1,2017,09Q,352605
2,2017,09Q,350079
3,2017,09Q,636594
4,2017,09Q,439329
5,2017,09Q,345104
6,2017,09Q,407501
7,2017,09Q,361999
8,2017,09Q,390006
9,2017,09Q,560959
10,2017,09Q,1551834
11,2017,09Q,700289
12,2017,09Q,1098781
1,2018,09Q,1467426
2,2018,09Q,1648225
3,2018,09Q,2539355
4,2018,09Q,1119351
5,2018,09Q,975540
6,2018,09Q,1539466
7,2018,09Q,1092191
8,2018,09Q,1042945
9,2018,09Q,1995932
10,2018,09Q,1756209
11,2018,09Q,1933626
12,2018,09Q,1299494
1,2019,09Q,1235210
2,2019,09Q,1177321
3,2019,09Q,1422948
4,2019,09Q,1012260
5,2019,09Q,1432953
6,2019,09Q,1209735
7,2019,09Q,2415527
8,2019,09Q,980418
9,2019,09Q,1008138
1,2015,0JQ,133825
2,2015,0JQ,114636
3,2015,0JQ,149766
4,2015,0JQ,41992
5,2015,0JQ,117980
6,2015,0JQ,74738
7,2015,0JQ,135175
8,2015,0JQ,39676
9,2015,0JQ,30827
1,2016,0JQ,3000
1,2015,0WQ,172998
2,2015,0WQ,150009
3,2015,0WQ,188301
4,2015,0WQ,265278
5,2015,0WQ,184194
6,2015,0WQ,185771
7,2015,0WQ,214607
8,2015,0WQ,162806
9,2015,0WQ,195384
10,2015,0WQ,155230
11,2015,0WQ,194273
12,2015,0WQ,178097
1,2016,0WQ,210112
2,2016,0WQ,181507
3,2016,0WQ,12505
4,2016,0WQ,20098
5,2016,0WQ,23873
6,2016,0WQ,26382
7,2016,0WQ,29149
8,2016,0WQ,34677
9,2016,0WQ,28479
10,2016,0WQ,18771
11,2016,0WQ,19893
12,2016,0WQ,24221
1,2017,0WQ,26018
2,2017,0WQ,21244
3,2017,0WQ,27071
4,2017,0WQ,24181
5,2017,0WQ,20236
6,2017,0WQ,21206
7,2017,0WQ,26331
8,2017,0WQ,26496
9,2017,0WQ,25164
10,2017,0WQ,30474
11,2017,0WQ,22294
12,2017,0WQ,14504
1,2018,0WQ,39725
2,2018,0WQ,24526
3,2018,0WQ,27316
4,2018,0WQ,0
5,2018,0WQ,0
6,2018,0WQ,0
7,2018,0WQ,0
8,2018,0WQ,0
9,2018,0WQ,0
10,2018,0WQ,0
11,2018,0WQ,0
12,2018,0WQ,0
1,2019,0WQ,0
2,2019,0WQ,0
3,2019,0WQ,0
4,2019,0WQ,0
5,2019,0WQ,0
6,2019,0WQ,0
7,2019,0WQ,0
8,2019,0WQ,0
9,2019,0WQ,0
1,2015,16,0
2,2015,16,0
3,2015,16,0
4,2015,16,0
5,2015,16,0
6,2015,16,0
2,2016,1BQ,0
3,2016,1BQ,0
4,2016,1BQ,0
5,2016,1BQ,34091
6,2016,1BQ,0
7,2016,1BQ,0
8,2016,1BQ,0
9,2016,1BQ,0
10,2016,1BQ,695195
11,2016,1BQ,572811
12,2016,1BQ,300487
1,2017,1BQ,219309
2,2017,1BQ,172801
3,2017,1BQ,148706
4,2017,1BQ,434772
5,2017,1BQ,407884
6,2017,1BQ,653120
7,2017,1BQ,630245
9,2017,1BQ,327658
10,2017,1BQ,111378
11,2017,1BQ,101869
3,2018,1BQ,209750
4,2018,1BQ,106326
5,2018,1BQ,129997
6,2018,1BQ,105007
7,2018,1BQ,133734
8,2018,1BQ,78881
9,2018,1BQ,66732
10,2018,1BQ,74383
11,2018,1BQ,100900
12,2018,1BQ,272667
1,2019,1BQ,60821
2,2019,1BQ,21144
3,2019,1BQ,27296
4,2019,1BQ,34596
5,2019,1BQ,21082
6,2019,1BQ,74296
7,2019,1BQ,66793
8,2019,1BQ,30612
9,2019,1BQ,247449
1,2015,23Q,0
2,2015,23Q,0
3,2015,23Q,0
4,2015,23Q,0
5,2015,23Q,0
6,2015,23Q,0
7,2015,23Q,0
8,2015,23Q,0
9,2015,23Q,0
10,2015,23Q,0
11,2015,23Q,0
12,2015,23Q,0
1,2016,23Q,0
2,2016,23Q,0
3,2016,23Q,0
4,2016,23Q,0
5,2016,23Q,0
6,2016,23Q,0
7,2016,23Q,118140
8,2016,23Q,122224
9,2016,23Q,124264
10,2016,23Q,100942
11,2016,23Q,177476
12,2016,23Q,114882
1,2017,23Q,82901
2,2017,23Q,15455
3,2017,23Q,0
4,2017,23Q,0
5,2017,23Q,0
6,2017,23Q,0
7,2017,23Q,0
8,2017,23Q,0
9,2017,23Q,0
7,2015,27Q,0
8,2015,27Q,0
9,2015,27Q,0
10,2015,27Q,0
11,2015,27Q,0
12,2015,27Q,0
1,2016,27Q,0
2,2016,27Q,0
3,2016,27Q,0
4,2016,27Q,0
5,2016,27Q,0
6,2016,27Q,0
7,2016,27Q,0
8,2016,27Q,0
9,2016,27Q,0
10,2016,27Q,0
11,2016,27Q,0
12,2016,27Q,0
1,2017,27Q,0
2,2017,27Q,0
3,2017,27Q,0
4,2017,27Q,0
5,2017,27Q,0
6,2017,27Q,0
7,2017,27Q,0
8,2017,27Q,0
9,2017,27Q,0
10,2017,27Q,0
11,2017,27Q,0
12,2017,27Q,0
1,2018,27Q,0
2,2018,27Q,0
3,2018,27Q,0
4,2018,27Q,0
5,2018,27Q,0
6,2018,27Q,0
7,2018,27Q,0
8,2018,27Q,0
9,2018,27Q,0
10,2018,27Q,0
11,2018,27Q,0
12,2018,27Q,0
1,2019,27Q,0
2,2019,27Q,0
3,2019,27Q,0
4,2019,27Q,0
5,2019,27Q,0
6,2019,27Q,0
7,2019,27Q,0
8,2019,27Q,0
9,2019,27Q,0
1,2018,2HQ,462132
2,2018,2HQ,436099
3,2018,2HQ,314298
4,2018,2HQ,362690
